row ID,row m/z,row retention time,202404241651_EB_dbgi_003163_01_01.mzML Peak area,202404241651_EB_dbgi_003169_01_02.mzML Peak area,202404241651_EB_dbgi_003173_01_01.mzML Peak area,202404241651_EB_dbgi_003186_01_01.mzML Peak area,202404241651_EB_dbgi_003190_01_01.mzML Peak area,202404241651_EB_dbgi_003194_02_01.mzML Peak area,202404241651_EB_dbgi_003200_01_01.mzML Peak area,202404241651_EB_dbgi_003206_01_01.mzML Peak area,202404241651_EB_dbgi_003210_02_01.mzML Peak area,202404241651_EB_dbgi_mapp_QC_01.mzML Peak area,202404241651_EB_dbgi_mapp_QC_02.mzML Peak area,202404241651_EB_dbgi_mapp_QC_03.mzML Peak area,202404241651_EB_dbgi_mapp_QC_04.mzML Peak area,202404241651_EB_dbgi_mapp_QC_05.mzML Peak area,202404241651_EB_dbgi_mapp_QC_06.mzML Peak area,202404241651_EB_dbgi_mapp_blk_01.mzML Peak area,202404241651_EB_dbgi_mapp_blk_02.mzML Peak area,202404241651_EB_dbgi_mapp_blk_post01.mzML Peak area,202404241651_EB_dbgi_mapp_blk_post02.mzML Peak area,202404241651_EB_dbgi_mapp_blk_post03.mzML Peak area,202404241651_EB_dbgi_mapp_blk_pre01.mzML Peak area,202404241651_EB_dbgi_mapp_blk_pre02.mzML Peak area,202404241651_EB_dbgi_mapp_blk_pre03.mzML Peak area,
11,183.08633279858634,0.6320259468181818,3.0777742155963564E8,1.9068133657871717E8,2.1913243970001483E8,1.830636391275978E8,2.7252782059653103E8,38627.83585050111,8374.177753043861,29672.91808551553,1.4396797067622957E8,1.5574654263229078E8,1.546975788431135E8,1.5127492404817575E8,1.5095453868326604E8,1.4841196442780325E8,1.4408526597955558E8,0,4169.970387296338,102509.95635050531,44569.70088110019,74568.75379040564,127889.700360557,187335.86350806124,150848.63457045084,
12,360.1499796583501,0.632747622173913,2.919339177678276E8,2.557058344037271E8,1.9407763344062608E8,2.1330806270251325E8,1.7278820212477183E8,4.703471351308034E8,4.2546559060675484E8,3.510006240868231E8,1.8291403145263287E8,3.188185699641385E8,2.957112049034584E8,2.990979308099245E8,2.7935248795369303E8,2.878279741037691E8,2.9740640245206535E8,21801.271795511,647156.3141526125,2167380.0269784452,2023400.914525767,1775908.032256451,2120176.1760252323,2257847.055724936,2024194.7293719796,
13,435.09215171611095,3.301079927777778,5.408401425551545E7,1.3641062858319301E7,484448.4580683272,2.7728142447725132E7,3.11838037488248E7,725981.3307202342,1306288.7257446712,1181703.4448093683,7724038.770153401,1.5189367873634992E7,1.5250894457906347E7,1.4979041141297208E7,1.5042367821109682E7,1.5546866271240728E7,2.1809109204732265E7,0,0,25566.696642384602,7724.891604238739,4451.504474308524,0,0,0,
14,593.2756620987601,9.647767817391303,6.0659446129827835E7,1.469111559721703E7,3.236869880715189E8,1.2944918709419005E7,1.8326248297837477E7,5977479.772066064,1.5332877965693748E7,5456242.474284591,4711429.887766439,7.38758409491575E7,8.448075879465285E7,8.764872415280056E7,8.429737839978449E7,8.093506673194095E7,8.269162938611016E7,324712.01066293934,108423.65966038921,1126094.3065962843,548173.2975554232,425237.20996307733,3016598.0597442077,413587.96053880436,429574.8000666212,
15,421.12806139628094,5.136005416666666,4.945070955492079E7,62482.539633036075,17764.398114077583,6.791405693614897E7,2.252406988300839E7,57103.25347015608,18439.39568947055,12248.380712105723,4535.471244813771,1.732141213828926E7,1.7463374704608537E7,1.7116880020538673E7,1.571964808508157E7,1.7760945529868092E7,1.6705801572475392E7,0,0,6240.8229800123845,5349.845714944991,3470.7716080525056,0,0,0,
16,437.1443014778437,3.6686500055555555,7.188413467843662E7,18871.604741115978,4278.160721669685,7.822162280752061E7,6.0361862721184134E7,27686.645874963106,9276.979565557604,8597.708244008818,4030.4552890077643,3.986530499186453E7,3.8505830526183054E7,3.773912357994024E7,3.842939023697934E7,4.014057167070886E7,3.969239240242615E7,0,0,3518.4809198719113,5723.591103265495,2826.2374860300165,0,0,0,
17,254.24785478626202,8.47093273043478,4.395885002772192E7,2.9868074967875894E7,3.532328674489207E7,2.400936571238547E7,3.0119586568369348E7,3.133313146232276E7,3.336993737806238E7,2.8323198130381204E7,3.098872586634947E7,3.3464817719435636E7,3.549887881949281E7,3.2760848157040253E7,2.97310276803634E7,3.459964265122022E7,3.464640581154779E7,12104.065734585962,5378.546300488627,50580.5760491788,25081.95074768512,4561.002268119779,502517.0275854721,6155.52982516272,2161.8776651934863,
18,344.1344589423257,2.376732959090909,3.7960318695253E7,2.1415422495198406E7,2.688451777880625E8,2.152043166248554E7,3.850136075245972E7,9393837.12260747,5488546.774008349,6271322.879240638,1.5652284457973663E7,5.8269323660867944E7,5.571362890304711E7,5.474237909004002E7,5.236162117462578E7,5.629961422314657E7,5.304706338053876E7,0,3791.568432053824,12427.819235539262,13897.432084246484,12347.011172069104,11299.002353791846,11919.248746588975,10484.84937807562,
19,256.2633229131284,9.204007891304347,4.116333161382113E7,2.9140885235606667E7,3.856597365389155E7,2.6449409444321204E7,3.0712215282067362E7,3.002504459734701E7,3.2746382340999242E7,3.035860378897E7,3.1719187120954033E7,3.0742956657028746E7,3.520706095001977E7,3.4835231313558884E7,3.153068891207757E7,3.20902312125643E7,3.439467580442801E7,1086362.0050213963,1058613.4039488693,312748.142251317,278878.14813291293,243684.17348413254,1.291384042731024E7,355556.50951277453,346815.03618475696,
20,568.4279261699005,10.286784956521737,4.872920753180082E7,4.709589575078185E7,6.1956110569221005E7,3.939467146665803E7,3.2213092612363085E7,6.170238323852837E7,5.2368360008493684E7,5.902209802438926E7,6.061773504213295E7,5.657421856122544E7,5.134737579507444E7,5.136462688040244E7,2.0661075872812606E7,4.965417723785557E7,1.2003291175642304E7,2212.776212885572,4259.316704589821,912184.9456066986,630601.9829407597,340154.8639410986,571037.1512828915,154185.77088375326,153638.15078837608,
21,792.561890414536,11.24500134782609,5.96246264027625E7,5.8722280433754474E7,3.659145109471388E7,2.9700933236392543E7,3.436797405960955E7,5.4410378499583066E7,5.507049066198836E7,5.386469256362424E7,5.589657925280938E7,6.006407414205241E7,5.458177025560337E7,5.005038846197828E7,3.0786041349437803E7,5.571936288715812E7,5.2945336766167484E7,22799.43549925903,78664.84142081703,1134494.3908784091,879474.8016204733,640378.493048452,2539951.8614276745,568158.2837964786,587076.9893046095,
22,349.08973227944375,2.365043239130435,3.8029895130190365E7,1.0994090477442548E7,8.683108444554207E7,3.5542133499418594E7,8.202918949934892E7,1.224410685952009E7,2820391.079067656,4178013.918658389,1.0942225154523915E7,4.87009405853717E7,4.368827374511115E7,4.16410960127229E7,4.2674029186317936E7,4.4339328240681335E7,4.9037628174893074E7,433.0278211669762,1334.0462768349682,29786.327620704298,36698.85229665668,25395.775434090072,9697.01068075138,21591.28413166213,21938.707578554408,
23,303.0496530405613,3.101059628571429,3.728972006338537E7,849590.0321761457,9718661.407906754,3.799121650490239E7,2.506055023645644E7,1.0348622865435923E7,7748581.056226169,4883312.329267111,1.002181328837495E7,1.7542881108382385E7,1.8368117508272413E7,1.7561374667589083E7,1.9340039542709455E7,1.9405209951969318E7,1.8526995667778727E7,0,0,12321.29796974413,6110.190895450131,4657.031694038857,746.0416555656461,666.3954244929232,583.7955362343744,
24,205.06821039423775,0.5929402947826086,1.1486678839337829E8,9.14961977049805E7,1.138757604741586E8,8.646344387052739E7,3.258058805724416E8,1535.7308969914993,9949.698036737995,2572.138771917704,4.9741809871854305E7,6.595579001425628E7,6.4837003079857185E7,6.594373789700219E7,6.88210324080046E7,6.825828569804673E7,6.834499249411E7,1307.2846375230388,53780.90589386818,1425433.726263571,1515707.8403855388,1369501.581653451,1507155.4345189773,1224366.4304764946,1382378.444628717,
25,421.1281286223645,5.1816488611111104,2.1382577403360404E7,85397.76483640268,17764.398114077583,6.791918125613058E7,8475444.023821916,57103.25347015608,18439.39568947055,12248.380712105723,4535.471244813771,7710702.194569119,7490978.9053099295,7342883.310316603,7056465.076991144,7230547.764284379,7110397.809495657,0,0,6240.8229800123845,5349.845714944991,3470.7716080525056,0,0,0,
26,165.05477884817813,2.366021656521739,2.152685442902527E7,3107178.4926424236,5.834711242237493E7,3.1905498610370122E7,4.630729133841863E7,1931345.0124891226,368574.04061524384,786778.2393070259,3502626.0584736913,2.21787087001033E7,2.1742831613204986E7,2.1951847412099805E7,2.0421346842932437E7,2.1291864872416973E7,2.204097400201448E7,564.2300828452001,412.050636949229,3240.8706049391067,2919.384389805906,2383.1248656694256,804.4415972446632,1159.5122898186228,938.1948668847479,
27,464.35862798276156,9.28904945652174,2.7740169694669712E7,2.6931685648782987E7,2.902167504482346E7,2.4599866343645856E7,2.9617284134448264E7,2.6284348415499676E7,2.809622923981267E7,2.9481863174143776E7,2.4079255804920692E7,2.9464331846015174E7,2.95929652940056E7,2.838986514314214E7,2.8747641838661935E7,2.4748076020017825E7,2.7251896691645935E7,3.1200422039786503E7,3.455592048237E7,2.9234981155221254E7,3.04063146535502E7,2.818507800698391E7,3.559962419252639E7,3.674757565377648E7,3.3920495353534356E7,
28,459.12597112278786,3.67473735,3.829896806206539E7,139308.13316172682,33276.429798833524,4.42479978966728E7,3.370048685892362E7,371078.5311105059,34685.08448787297,76849.446617031,94799.97395689484,2.5194561839233436E7,2.360101547999829E7,2.4670393341716956E7,2.6519355131021645E7,2.550944911609613E7,2.5350847269844957E7,0,0,81845.74258697954,77045.40837221476,29303.09673737864,0,0,0,
29,165.07574373973162,0.6364093852173912,8.36889738221827E7,5.233290410998377E7,5.755409718556462E7,4.9820270442511015E7,7.100121889017905E7,62139.836668406846,35409.83143196312,58377.561574059364,4.044167541925369E7,4.136124443907346E7,4.163950930060143E7,4.1404588362940766E7,4.142321594167203E7,4.045102805762971E7,4.119473652529338E7,536.0848857612322,1548.3533587010706,97254.30318885288,35106.4173621355,28354.02921211701,38394.553512802144,17873.149350203992,32742.363707962733,
30,487.08442835286746,3.0893025318181815,3.659878658890631E7,1866423.9819055211,6463060.471665227,4.147278822845003E7,3.804315411652202E7,1.3331469189214557E7,1821043.4646115557,1487828.2731663762,2.167756290846417E7,1.7231062817636438E7,1.8754489007701315E7,1.720509176648235E7,1.9207536827244654E7,1.908240288799693E7,1.6469295435671013E7,0,944.9147210365118,29334.27222103881,24850.819286773018,16684.3047491551,7172.7139630862275,9015.95943211889,11767.966914857636,
31,778.5381646382317,10.903446318181816,6.0907569248915344E7,6.3561295918933794E7,2.7545541446915712E7,4.4982448932708696E7,3.1381813381568294E7,5.49921439905075E7,7.224067028486441E7,9.691461404234117E7,1.8050538957255952E7,6.322660463717525E7,6.1583405128523625E7,5.889542435694047E7,4.774007304944048E7,5.5035112725349985E7,5.489079877600145E7,643.4882567577341,0,144365.80936256595,15709.863595136572,6833.933130322312,11232.580465341176,1486.6701210644737,1960.098782761409,
32,457.0738498815574,3.3001935722222218,1.804808386586957E7,5135220.832683901,67770.54038418783,1.1481097834138222E7,1.0467945185373161E7,114808.17703549756,568965.9455739617,239958.48763911368,2505039.5192335583,6010464.841322659,5919128.888211494,6221269.291584716,5349817.116191886,6193404.836177372,6202745.481472683,0,0,21304.165875794763,8250.434818025744,4052.4339123676705,0,0,0,
33,148.06036661506948,0.6186751704347826,5.777531840586588E7,2.576086442735938E7,3.2838187732565194E7,3.385370963393866E7,1.5974269785296453E7,2.3591645463650953E7,4.957132812157253E7,3.745001929569225E7,3.328717876460316E7,3.727311696394053E7,3.551586363483619E7,3.502116312446168E7,3.558771106931921E7,3.517267455660171E7,3.5604955481333435E7,761.004470680658,22932.71824184285,82654.52920079864,21329.473837498703,41198.88179836873,24726.38281831878,58651.050053512976,33592.70702411602,
34,605.1625907929346,5.137269299999999,1.8139268942867164E7,72793.825775744,18197.93489224795,1.9531740862265136E7,1.083498384919399E7,49274.044633866666,18572.505506818517,36201.42643520509,2532.83921618778,8962178.735237218,9669377.593375446,8683432.01865957,8330801.0908269435,9085516.721323818,8579294.871929783,0,0,15858.945944795461,4023.1675797655103,2335.4836444957664,0,0,0,
35,379.1000781832303,2.5471389454545452,1.5273033752521861E7,1.3164685198987262E7,5795532.794897559,1.5216501927081348E7,1.318923362204592E7,1270371.7895855594,1139876.309779237,1175397.8106723404,8172346.941738891,6912962.206142444,7394693.0621694205,6218989.480599059,6517919.810447146,6664954.279268483,6613171.930147635,0,3304.043638322008,19986.74811061536,15350.652963074022,9378.754327071472,6379.293618980711,7751.920969790752,11201.053039409982,
36,537.5358700959579,10.732037173913042,5.823441727362847E7,6.091351154016518E7,5.2249936468130246E7,4.964037497589711E7,4.79985012602693E7,5.53430292639242E7,5.2768024671663E7,5.319251622413332E7,5.446634901071292E7,4.763748721529908E7,5.61442563838384E7,5.439458035422586E7,4.5314697058022864E7,5.3331419962058365E7,5.019824591598E7,5.3769879199901395E7,5.5019298529770665E7,5.226315271189774E7,5.24022500298215E7,5.071762479318429E7,7.43115523430724E7,2.263610441991155E8,5.992424309905101E7,
37,606.284105218984,10.343405521739134,1.4300726693382753E7,8387489.045459189,3131070.7906846376,6799986.315151795,5985657.583503769,1662878.0655783378,1.0644345200017232E7,1787302.4185679967,1168177.775509593,8218030.392630971,7141003.843916003,5749828.860152579,706777.7082337531,4943437.517355747,187826.32252123838,69912.16174526376,33131.14830931772,381978.6930178754,339721.4982588269,696926.4612535473,884451.6661447315,153602.17587513907,141410.4340288463,
38,175.11896588547256,0.6090315869565217,5.6435691170180716E7,2123820.203040295,2006013.2139321552,4099665.3736768193,8753185.53105098,1056217.2338286776,3191737.0058306893,1380644.3873985603,3208000.843031939,9337091.364182055,9117008.384449603,9166617.46056816,9907306.107747868,9111904.502186311,9388940.390129063,6914.026105787976,4600.464327863998,22057.887079292148,15042.303791552557,6713.568765254445,11402.191714363793,28467.04209794882,17533.9986991355,
39,611.1608881450236,3.035887090909091,1.1712896521422202E7,1237609.365441881,1.0865169229378518E7,2521691.6621006853,1.1475807582367964E7,7426.267510172567,82893.45431498348,1315050.4593407034,1.3232676257819952E7,4528967.810133773,4192130.2577483123,4255005.209201723,4107648.351501684,4713635.704129746,4185585.901009135,0,3657.111709145594,37729.13105734568,37196.04217057043,32918.55058578284,16375.154926122159,31984.31958431076,32087.92830736954,
40,325.1128074933755,0.6356492560869565,6.027248970293714E7,5.235905017262536E7,4.050134117286949E7,4.327418227198764E7,3.565411072019744E7,9.534165081083994E7,8.265091765736988E7,6.867672119265434E7,3.847141556334759E7,6.085368136703988E7,5.8139721095844924E7,5.992791115999131E7,5.6198935598879516E7,5.805573738475378E7,6.147784005566978E7,1098.385917366242,99620.28467105835,333351.56325209804,297328.82904736814,259572.6340011778,187294.13982757446,257445.46844188654,248865.09313102366,
41,130.04998274201915,0.6190372986956522,4.815373971964305E7,1.0863357448289549E7,1.0257355948807243E7,1.4212992670941772E7,7674691.237405445,8648491.148658082,2.233770095213154E7,2.099721290284659E7,1.5653049671823535E7,1.8583216327546418E7,1.8180475722731587E7,1.8160142823768932E7,1.796810062523254E7,1.8717188751568742E7,1.884524648833453E7,4336.6444454787625,12123.161750373032,72942.34901884392,48835.13852693221,24807.48157514578,38630.44563952703,73768.73948215209,38664.326559597655,
42,147.04417696492766,2.367553365217391,1.1311880811190698E7,1873718.632887818,3.055971424482528E7,1.8126472282730684E7,2.818371169298029E7,1742517.9475608293,264733.22449395794,1751464.687450943,4881867.197442374,1.1660123027029892E7,1.17906950240098E7,1.1814916107872665E7,1.1749367437673915E7,1.2447505563805526E7,1.2047765219269032E7,1283.583321921414,1994.7420034595802,1961.069457375054,1716.9179165479013,3438.866090628638,5462.914055156283,3547.5511574098446,3412.202702583273,
43,284.29460896127165,10.04292143478261,1.3702513505450668E7,8989284.222252365,1.0437944691980142E7,7163307.248037979,8190672.255378887,1.0121522374832887E7,9711418.55105923,8876078.714138394,9626024.753984237,1.0478469174963886E7,1.2302051014490854E7,1.0883107883679148E7,9605705.99843353,1.0767672846507195E7,1.0499401327051943E7,120306.86072425792,138760.73717859818,44238.92893532151,87703.24264061818,42926.66695681606,1090711.6890985598,106146.77093224537,133411.43287268383,
44,600.416938683723,9.021052873913042,2.6722983013311066E7,1.920703101268929E7,3.448276267115087E7,2.1048467695016332E7,1.2945415732487272E7,2.5821727375597555E7,4.1233578515078284E7,3.2462469418115754E7,2.170427410489886E7,2.741831467030044E7,2.689033987580712E7,2.6046328637709282E7,2.35815873020951E7,2.4182315470470186E7,2.3450799766705733E7,790.9523399266857,7930.652044533818,73836.0207941076,73124.87596428217,62367.065170440575,169661.9997833416,49732.671900318084,53003.56255435945,
45,926.5837533386753,10.413247266666668,1.2987316968360864E7,584412.4600106239,839054.8061670142,3576169.102353891,3791323.9159238674,2402326.6949909506,3366787.5282104937,3808951.8439480774,604983.4301651368,4026420.7531323843,4186734.158664595,4191534.9490462765,477103.5209062927,4145694.2141544344,211194.66991265374,0,0,0,0,0,0,0,0,
46,147.06509399873764,0.6339945286956522,5.0553878302384004E7,3.1562566157182895E7,3.588065541611032E7,2.9351074150673386E7,4.324160146456255E7,76801.34160294833,427116.42531663744,24272.787805136668,2.407528136064849E7,2.550321590487461E7,2.4789514006252494E7,2.5219511152720638E7,2.6240571687834416E7,2.541993475050959E7,2.6228424506117813E7,518.734933528716,2085.633797318853,29897.21031170943,24232.058344347457,30525.65502503117,5134.996822955264,15532.99631159697,14385.506505020356,
47,275.0912247876047,3.8756304888888895,1.2768179637855683E7,21346.63329439448,4075.1590580815464,1.4051252950061118E7,9405548.26447894,33291.053460279036,36803.27117354577,20191.98972693232,60129.3232658509,5328232.608516907,4295647.871400002,4132925.4972434314,4746281.782239001,4957456.9268107815,4355655.328880185,0,0,3577.9597739875217,1197.7960338427968,556.5217960708003,0,0,0,
48,551.4263536925267,10.289221699999999,1.0607272524266506E7,7859616.413927412,1.1752730917770412E7,7456466.511174338,5170128.833315948,8841415.947687699,1.0657458809587818E7,1.2252162027936013E7,7467100.056460788,9160849.662169712,3741064.5343604,4586110.911914964,8017532.061271844,1.053993271774782E7,8380644.280013898,0,0,6749.492901796677,3836.2889915479827,1419.4980402831918,0,932.6719905909183,694.4076254882895,
49,433.11293297905814,3.6539571047619046,1.0717421393418934E7,1507267.0876218043,2422.135060993652,892566.7737085376,1.1809527024575634E7,50282.77460534022,152797.68508782497,710183.2379187891,1.0328272080314882E8,1.907028084452388E7,1.9139263114867512E7,1.8622773213905416E7,1.9289747906684715E7,2.087731198781482E7,2.0385024106219716E7,0,1883.1512412180075,17484.53439015742,8866.709263902849,5347.472244441647,627.3354423098026,0,1178.8403749130723,
50,344.13436221030986,2.4097813272727273,1.007780794899317E7,2.1415422495198503E7,2.688451777880614E8,1.3806114613355525E7,2.9886178823794022E7,1.027258614414881E7,5488546.77400836,6271322.879240599,1.5659618274049489E7,5.826932366086756E7,6666975.831746093,5.4742379090040036E7,7557740.703621823,6946943.8608609345,5.3051351507585734E7,0,3791.568432053824,12427.819235539262,13897.432084246484,12347.011172069104,11299.002353791846,11919.248746588975,10484.84937807562,
51,219.02652120175568,0.5857104582608695,2.8513835840631735E7,2.4527755415316608E7,7.575686612545231E7,2.264985153552025E7,3.0415990738460187E7,6.430408512104324E7,1.2327765424078476E8,3.0417974574002367E7,1.517132242777618E7,4.105276271112406E7,4.0767810880736545E7,4.106572988418207E7,4.103606663255574E7,4.1368368304480724E7,4.019610121773199E7,3390.300521759182,166185.35190399725,941125.1688656585,886124.0214873011,828585.3861928673,886361.4255775445,825264.768183072,824865.0427331259,
52,129.0547336247264,0.6305026447826088,4.6432674680701844E7,2.9036339792608958E7,3.2313498146214034E7,2.7212363567583174E7,4.097337752108084E7,163617.7500089061,620820.1876107748,25057.515354650444,2.179207767427217E7,2.4343433268323053E7,2.2619576368258685E7,2.3706323484000288E7,2.29867831972319E7,2.3044028206357576E7,2.376768583137581E7,684.2158206298805,1350.2977307935525,34421.94105905239,16306.817872855912,10340.184547213179,3735.0526627593454,6405.3599350489985,11242.712421426413,
53,794.5769532755467,11.607678782608696,1.2376931638101997E7,7914670.599739604,7900648.714199867,3485029.7642096924,3368396.0729860687,9412710.223550767,1.2599967756145632E7,1.1578770227432126E7,5217587.984047534,9327784.87400363,9373144.897930093,8633251.162207326,5403907.473981375,9923254.252194982,8976483.011177782,1247.0502700195461,14543.821842575817,75831.14921920949,93647.11592372297,73269.42085680323,245300.69436000212,90911.29167988122,87846.17750752206,
54,567.4203416384183,10.290206099999999,1.3164232344553627E7,1.0906026373336744E7,1.7484353976400465E7,6583621.045649688,6026598.442491521,1.2684416068012223E7,1.3263528761808846E7,1.3405967238288082E7,1.2851996793988263E7,1.1783529309185643E7,9481058.728747608,1.005569879770498E7,1.0755808531597866E7,1.177906719737079E7,1.1217266201061469E7,0,0,21671.854529970045,13613.793650522124,2098.896369126016,7088.704432031151,0,671.9061203613361,
55,471.0894181023595,3.3655201227272737,2.3575159011913233E7,1228188.0327753795,2211387.8471441083,1.1101736771953447E7,4309890.886655293,6900508.600947355,1972866.5936608592,710502.2196719126,2.159816353440899E7,1.1658228864263311E7,1.0915687369242487E7,1.0844662837527132E7,1.3658694365891263E7,1.4412147476241061E7,1.3107977264780253E7,0,2764.8668983033153,91267.63162299016,42811.5607397973,29489.224902336246,4461.276582949973,5355.768264453743,5176.577117605948,
56,365.10545353946003,0.6277994873913043,5.183797714258778E7,5.4814749577015996E7,4.2979053479668155E7,4.809920693865829E7,4.476562817347706E7,8.956823565382132E7,7.932999209154838E7,6.806139836793125E7,3.94777263872579E7,6.5616634231207356E7,6.074583355506622E7,6.275490876524759E7,6.165042616858238E7,5.822950228647699E7,6.0961045409462914E7,20799.530360754943,794200.5136238618,2021320.0548764404,1869321.4590372173,1666487.296162381,1476247.4878980322,1642610.7918284843,1667494.6101662964,
