"sirius_smiles"	"sirius_sirius_confidenceRank"	"sirius_structurePerIdRank"	"sirius_formulaRank"	"sirius_#adducts"	"sirius_#predictedFPs"	"sirius_ConfidenceScore"	"sirius_CSI:FingerIDScore"	"sirius_ZodiacScore"	"sirius_SiriusScore"	"sirius_molecularFormula"	"sirius_adduct"	"sirius_InChIkey2D"	"sirius_InChI"	"sirius_name"	"sirius_xlogp"	"sirius_pubchemids"	"sirius_links"	"sirius_dbflags"	"sirius_ionMass"	"sirius_retentionTimeInSeconds"	"sirius_id"	"sirius_featureId"	"sirius_chebiid"	"sirius_chebiasciiname"	"sirius_searchscore"	"sirius_entitystar"	"feature_id"
"B(C1=CC=C(C=C1)C2=CC=C(C=C2)OC(CC)CC)(O)O"	3183	1	1	1	2	"0.01632883745904348"	-396.176456627707	"0.9999999999999999"	1.89076241673218	"C17H21BO3"	"[M + H]+"	"BXIFXXIJBZDWRA"	"InChI=1S/C17H21BO3/c1-3-16(4-2)21-17-11-7-14(8-12-17)13-5-9-15(10-6-13)18(19)20/h5-12,16,19-20H,3-4H2,1-2H3"	"4-[4''-(3-Pentyloxy)phenyl]phenylboronic acid"	4.53620291	"46739069"	"PubChem:(46739069);PubChem class - safety and toxic"	67108866	284.170135498047	101.147844	"1765_mapp_batch_00109_sirius_1883"	1883	NA	NA	NA	NA	1883
"B(C1CCCN1C(=O)C(C(C)CC)NC(=O)C(C)N)(O)O"	1590	1	2	1	3	"0.22892350189562619"	-350.59250734756	"0.01909547738693468"	91.5666366461508	"C13H26BN3O4"	"[M + K]+"	"ZJPVCZLCDXPKCH"	"InChI=1S/C13H26BN3O4/c1-4-8(2)11(16-12(18)9(3)15)13(19)17-7-5-6-10(17)14(20)21/h8-11,20-21H,4-7,15H2,1-3H3,(H,16,18)"	"null"	-0.0817514509	"49866626;101454864"	"PubChem:(49866626 101454864);PubChem class - bio and metabolites"	16777218	337.167846679688	566.701974	"550_mapp_batch_00109_sirius_582"	582	NA	NA	NA	NA	582
"B(OCC(C)OCC(C)OC)(OCC(C)OCC(C)OC)OCC(C)OCC(C)OC"	3231	1	1	1	1	"N/A"	-185.105087631226	"0.9999999999999999"	51.1001660871081	"C21H45BO9"	"[M + Na]+"	"KWSWSNSTXCTLPR"	"InChI=1S/C21H45BO9/c1-16(23-7)10-26-19(4)13-29-22(30-14-20(5)27-11-17(2)24-8)31-15-21(6)28-12-18(3)25-9/h16-21H,10-15H2,1-9H3"	"tris[2-(2-methoxypropoxy)propyl] borate"	2.51764226	"108394"	"PubChem:(108394);NORMAN:(NS00056387)"	262146	474.306213378906	344.806212	"2975_mapp_batch_00109_sirius_3205"	3205	NA	NA	NA	NA	3205
"B(OCC(C)OCC(C)OC)(OCC(C)OCC(C)OC)OCC(C)OCC(C)OC"	3219	1	1	1	1	"N/A"	-185.105087631226	"0.9999999999999999"	51.1705115114759	"C21H45BO9"	"[M + Na]+"	"KWSWSNSTXCTLPR"	"InChI=1S/C21H45BO9/c1-16(23-7)10-26-19(4)13-29-22(30-14-20(5)27-11-17(2)24-8)31-15-21(6)28-12-18(3)25-9/h16-21H,10-15H2,1-9H3"	"tris[2-(2-methoxypropoxy)propyl] borate"	2.51764226	"108394"	"PubChem:(108394);NORMAN:(NS00056387)"	262146	474.306335449219	349.473672	"2538_mapp_batch_00109_sirius_2733"	2733	NA	NA	NA	NA	2733
"B1(OC(C(O1)(C)C)(C)C)C2=C(C=C(C=C2)NC(=O)OC(C)(C)C)OC"	2577	1	1	1	2	"0.1083814212952033"	-863.048719352015	"0.9999999999999999"	55.8214071188845	"C18H28BNO5"	"[M + H]+"	"XZDFUAVQCGKNHS"	"InChI=1S/C18H28BNO5/c1-16(2,3)23-15(21)20-12-9-10-13(14(11-12)22-8)19-24-17(4,5)18(6,7)25-19/h9-11H,1-8H3,(H,20,21)"	"null"	3.93722606	"57975893"	"PubChem:(57975893);PubChem class - safety and toxic"	67108866	349.215789794922	258.438972	"2434_mapp_batch_00109_sirius_2620"	2620	NA	NA	NA	NA	2620
"B1(OC(C(O1)(C)C)(C)C)C2=CC(=CC=C2)N3C=CC=N3"	3177	1	1	1	1	"0.020495584448157748"	-491.980552647017	"0.9999999999999999"	27.8412672558903	"C15H19BN2O2"	"[M + K]+"	"GVSCNAOZDQCWJJ"	"InChI=1S/C15H19BN2O2/c1-14(2)15(3,4)20-16(19-14)12-7-5-8-13(11-12)18-10-6-9-17-18/h5-11H,1-4H3"	"3-(1H-Pyrazol-1-yl)benzeneboronic acid, pinacol ester"	3.2761991	"4961249"	"PubChem:(4961249);PubChem class - safety and toxic"	67108866	308.120208740234	151.266276	"3356_mapp_batch_00109_sirius_3633"	3633	NA	NA	NA	NA	3633
"B1(OC(C(O1)(C)C)(C)C)C2=CC(=CO2)C3=CC=CC=C3"	3079	1	2	1	2	"0.04406390663228435"	-354.274720648826	"0.9969849246231155"	11.23272418266	"C16H19BO3"	"[M + H]+"	"YWNCPGZDZUEPEZ"	"InChI=1S/C16H19BO3/c1-15(2)16(3,4)20-17(19-15)14-10-13(11-18-14)12-8-6-5-7-9-12/h5-11H,1-4H3"	"null"	3.84275341	"45786348"	"PubChem:(45786348);PubChem class - safety and toxic"	67108866	270.154663085938	96.824724	"2499_mapp_batch_00109_sirius_2692"	2692	NA	NA	NA	NA	2692
"B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)COCC=C"	3167	1	1	2	2	"0.025849242895086902"	-324.791150766139	"0.9999999999999999"	26.6390313879521	"C16H23BO3"	"[M - H2O + H]+"	"CKLUESWBFOPYJN"	"InChI=1S/C16H23BO3/c1-6-11-18-12-13-7-9-14(10-8-13)17-19-15(2,3)16(4,5)20-17/h6-10H,1,11-12H2,2-5H3"	"null"	3.54044342	"75176004"	"PubChem:(75176004);PubChem class - safety and toxic"	67108866	256.175384521484	123.523338	"2653_mapp_batch_00109_sirius_2859"	2859	NA	NA	NA	NA	2859
"B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)NC(C)C"	2841	1	1	1	2	"0.08036350998512656"	-504.267058340124	"0.9999999999999999"	49.5171346587956	"C15H24BNO2"	"[M + H]+"	"KUQCOTSTUVAICI"	"InChI=1S/C15H24BNO2/c1-11(2)17-13-9-7-12(8-10-13)16-18-14(3,4)15(5,6)19-16/h7-11,17H,1-6H3"	"4-Isopropylaminophenylboronic acid pinacol ester"	3.74538755	"53217352"	"PubChem:(53217352);PubChem class - safety and toxic"	67108866	261.19970703125	259.09458	"824_mapp_batch_00109_sirius_877"	877	NA	NA	NA	NA	877
"B1(OC(C(O1)(C)C)(C)C)C2=CC=NC=C2"	3168	1	1	1	1	"0.0252261165836445"	-373.505089047191	"N/A"	28.8568810682405	"C11H16BNO2"	"[M + K]+"	"NLTIETZTDSJANS"	"InChI=1S/C11H16BNO2/c1-10(2)11(3,4)15-12(14-10)9-5-7-13-8-6-9/h5-8H,1-4H3"	"pyridine-4-boronic pinacolate"	2.0874424	"2734648;45788962"	"PubChem:(2734648 45788962);PubChem class - safety and toxic"	67108866	243.094100952148	31.0036722	"3605_mapp_batch_00109_sirius_3921"	3921	NA	NA	NA	NA	3921
"C(=NN(C(=N)N)S(=O)(=O)O)(N)N"	3228	1	1	1	1	"N/A"	-131.873493336672	"0.9999999999999999"	36.9922314098816	"C2H8N6O3S"	"[M + Na]+"	"KHFCHIDYYFNCOK"	"InChI=1S/C2H8N6O3S/c3-1(4)7-8(2(5)6)12(9,10)11/h(H3,5,6)(H4,3,4,7)(H,9,10,11)"	"null"	-2.41727114	NA	"COCONUT:(CNP0311247);Natural Products:(UNPD69317)"	2129920	219.026397705078	83.89647	"2825_mapp_batch_00109_sirius_3042"	3042	NA	NA	NA	NA	3042
"C(=O)C(C(C(C(F)F)(F)F)(F)F)(F)F"	2497	1	2	1	2	"0.11823754229372672"	-90.3299124728093	"0.1306532663316583"	14.8937672139077	"C5H2F8O"	"[M + K]+"	"BQFRALWVZATVGY"	"InChI=1S/C5H2F8O/c6-2(7)4(10,11)5(12,13)3(8,9)1-14/h1-2H"	"5H-Perfluoropentanal"	2.5999999	"542849"	"NORMAN:(NS00018882);PubChem class - safety and toxic;PubChem:(542849)"	67371010	268.960235595703	47.5065828	"4055_mapp_batch_00109_sirius_4425"	4425	NA	NA	NA	NA	4425
"C(C(=O)CC(=O)CC(=O)O)C(=O)CC(=O)O"	2868	1	1	1	2	"0.07702606610818255"	-199.515646852357	"0.9999999999999999"	85.1124417470436	"C9H10O7"	"[M + H]+"	"DVJQEIZBKGXTIR"	"InChI=1S/C9H10O7/c10-5(1-6(11)3-8(13)14)2-7(12)4-9(15)16/h1-4H2,(H,13,14)(H,15,16)"	"3,5,7-Trioxononanedioic acid"	-1	"3022602"	"PubChem:(3022602);NORMAN:(NS00039673)"	262146	231.049514770508	95.149818	"2508_mapp_batch_00109_sirius_2701"	2701	NA	NA	NA	NA	2701
"C(C(=O)O)C(CC(=O)O)(C(=O)O)O"	381	1	1	2	2	"0.5798220444944125"	-7.95655472004826	"0.9999999999999999"	99.9857311145172	"C6H8O7"	"[M - H2O + H]+"	"KRKNYBCHXYNGOX"	"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)"	"Chemfill"	-1.79005051	"311;24802;31348;4099777;3853591;4342083;9815540;12303294;12303295;10012881;9990172;10241686;10313505;19782904;16213286;16213403;16217547;16219104;22051957;25113638;59575930;76764134;87060892;88113319;87111074;88162338;87306242;102066902;129761155"	"HMDB:(94);PubChem class - food;SuperNatural:(SN00317829 SN00001730);ZINC bio:(ZINC00895081);additional;HSDB:(77-92-9);MeSH:(311 31348);Plantcyc:(CIT);PubMed;NORMAN:(NS00007335 NS00042537);COCONUT:(CNP0149674 CNP0346802 CNP0354288);KNApSAcK:(7619);Natural Products:(UNPD145647);PubChem:(311 24802 31348 4099777 3853591 4342083 9815540 12303294 12303295 10012881 9990172 10241686 10313505 19782904 16213286 16213403 16217547 16219104 22051957 25113638 59575930 76764134 87060892 88113319 87111074 88162338 87306242 102066902 129761155);CHEBI:(16947 35806 76049 35810 35809 35802 30769);PubChem class - bio and metabolites;KEGG:(C00158);PubChem class - safety and toxic;YMDB:(86);Training Set;PubChem class - drug;Biocyc:(CPD1UA-5664 CIT)"	255847294	175.023590087891	48.325506	"630_mapp_batch_00109_sirius_672"	672	"CHEBI:30769"	"citric acid"	"2.42"	"3"	672
"C(C(=O)O)C(CC(=O)O)(C(=O)O)O"	295	1	1	2	2	"0.6448192820820945"	-8.37800461261021	"0.9999999999999999"	75.2177364766293	"C6H8O7"	"[M + H]+"	"KRKNYBCHXYNGOX"	"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)"	"Chemfill"	-1.79005051	"311;24802;31348;4099777;3853591;4342083;9815540;12303294;12303295;10012881;9990172;10241686;10313505;19782904;16213286;16213403;16217547;16219104;22051957;25113638;59575930;76764134;87060892;88113319;87111074;88162338;87306242;102066902;129761155"	"HMDB:(94);PubChem class - food;SuperNatural:(SN00317829 SN00001730);ZINC bio:(ZINC00895081);additional;HSDB:(77-92-9);MeSH:(311 31348);Plantcyc:(CIT);PubMed;NORMAN:(NS00007335 NS00042537);COCONUT:(CNP0149674 CNP0346802 CNP0354288);KNApSAcK:(7619);Natural Products:(UNPD145647);PubChem:(311 24802 31348 4099777 3853591 4342083 9815540 12303294 12303295 10012881 9990172 10241686 10313505 19782904 16213286 16213403 16217547 16219104 22051957 25113638 59575930 76764134 87060892 88113319 87111074 88162338 87306242 102066902 129761155);CHEBI:(16947 35806 76049 35810 35809 35802 30769);PubChem class - bio and metabolites;KEGG:(C00158);PubChem class - safety and toxic;YMDB:(86);Training Set;PubChem class - drug;Biocyc:(CPD1UA-5664 CIT)"	255847294	193.034240722656	48.989751	"353_mapp_batch_00109_sirius_376"	376	"CHEBI:30769"	"citric acid"	"2.42"	"3"	376
"C(C(C(=O)O)N)C(=O)N"	89	1	1	2	2	"0.9109842088991686"	-2.71206492615898	"0.9999999999999999"	56.1459564382158	"C4H8N2O3"	"[M + H]+"	"DCXYFEDJOCDNAF"	"InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)"	"agedoite"	-2.25158358	"236;6267;439600;4333740;5247114;5460880;5460874;5460875;5460877;5460878;5460881;6991971;6992089;16213309;16213311;16213450;16217343;16217399;16217568;16217723;16217724;53753695;58203004;71309330;71309891;87528072;88447182;91065355;101916026;122227568;124202806;131667586;134231473;136814877;138112706"	"HMDB:(168 33780);PubChem class - food;SuperNatural:(SN00002221 SN00156119);ZINC bio:(ZINC01529313 ZINC01532556);additional;HSDB:(70-47-3);MeSH:(236 6267 6992089);Plantcyc:(ASN B-DIDO-HEX-1:5_6:A CPD-3633);PubMed;NORMAN:(NS00002372);COCONUT:(CNP0405192 CNP0267849);KNApSAcK:(1341);Natural Products:(UNPD141469 UNPD81200);PubChem:(236 6267 439600 4333740 5247114 5460880 5460874 5460875 5460877 5460878 5460881 6991971 6992089 16213309 16213311 16213450 16217343 16217399 16217568 16217723 16217724 53753695 58203004 71309330 71309891 87528072 88447182 91065355 101916026 122227568 124202806 131667586 134231473 136814877 138112706);CHEBI:(32660 32651 28159 17196 74337 32661 32657 32656 22653 58048 32650);PubChem class - bio and metabolites;KEGG:(C00152 C01905 C16438);PubChem class - safety and toxic;YMDB:(849 226);Training Set;PubChem class - drug;Biocyc:(ASN CPD-3633)"	255847294	133.060974121094	38.4898692	"3342_mapp_batch_00109_sirius_3616"	3616	"CHEBI:22653"	"asparagine"	"2.79"	"3"	3616
"C(C(C(C(C(=NNC(=O)N)C=NNC(=O)N)O)O)O)O"	3081	1	2	1	1	"0.0431363027023138"	-240.694477493441	"0.10904522613065327"	1.39776627885056	"C8H16N6O6"	"[M - H2O + H]+"	"GVIQLIUQGMZZEW"	"InChI=1S/C8H16N6O6/c9-7(19)13-11-1-3(12-14-8(10)20)5(17)6(18)4(16)2-15/h1,4-6,15-18H,2H2,(H3,9,13,19)(H3,10,14,20)"	"[[1-(carbamoylhydrazinylidene)-3,4,5,6-tetrahydroxyhexan-2-ylidene]amino]urea"	-4.5	"6807220;9614557;25425957;25425959;40890790;92348771;98135339;98861370;98861371;98861372;98861373;97960416;124866705;124866706;124866707;124866708;124867445"	"COCONUT:(CNP0369526);PubChem:(6807220 9614557 25425957 25425959 40890790 92348771 98135339 98861370 98861371 98861372 98861373 97960416 124866705 124866706 124866707 124866708 124867445);SuperNatural:(SN00083267 SN00083272 SN00083271);ZINC bio:(ZINC08964480 ZINC08964481 ZINC08964482)"	3153922	275.110198974609	80.655456	"3736_mapp_batch_00109_sirius_4065"	4065	NA	NA	NA	NA	4065
"C(C(C(C(C(C(C(CO)O)O)O)O)O)O)N"	741	1	1	1	2	"0.4185781328371034"	-43.5031121870657	"0.9999999999999999"	79.4258187503688	"C8H19NO7"	"[M + H]+"	"KGQLHIBPZMFCTC"	"InChI=1S/C8H19NO7/c9-1-3(11)5(13)7(15)8(16)6(14)4(12)2-10/h3-8,10-16H,1-2,9H2"	"Glucotalooctamine"	-4.23689699	"195744;22863345;124580565;125357376;125357377;125357378"	"MeSH:(195744);PubChem:(195744 22863345 124580565 125357376 125357377 125357378);PubMed"	70	242.123168945312	38.3493606	"3038_mapp_batch_00109_sirius_3275"	3275	NA	NA	NA	NA	3275
"C(C(C(C(C(C(C1C(C(C(C(O1)O)O)O)N)O)O)O)O)O)O"	3220	1	1	1	2	"N/A"	-175.388669335932	"0.9999999999999999"	66.6642602055603	"C11H23NO10"	"[M + H]+"	"BGELTFJJYJNMPP"	"InChI=1S/C11H23NO10/c12-3-5(16)9(20)11(21)22-10(3)8(19)7(18)6(17)4(15)2(14)1-13/h2-11,13-21H,1,12H2"	"null"	-5.43145132	NA	"COCONUT:(CNP0183311);Natural Products:(UNPD119440 UNPD208914);SuperNatural:(SN00253462)"	3178496	330.139465332031	38.298138	"1533_mapp_batch_00109_sirius_1630"	1630	NA	NA	NA	NA	1630
"C(C(C(C(C(C(CO)O)O)O)N)O)C(=O)C(=O)O"	930	1	3	1	4	"0.3580622795595425"	-155.99997585864	"0.15577889447236182"	31.0419404628828	"C9H17NO8"	"[M + H]+"	"BQINXKOTJQCISL"	"InChI=1S/C9H17NO8/c10-6(3(12)1-4(13)9(17)18)8(16)7(15)5(14)2-11/h3,5-8,11-12,14-16H,1-2,10H2,(H,17,18)"	"5-amino-3,5-dideoxynon-2-ulosonic acid"	-6.69999981	"349961;5460034;15942884"	"COCONUT:(CNP0220942);Natural Products:(UNPD119839);PubChem:(349961 5460034 15942884);SuperNatural:(SN00346609);CHEBI:(27851 25505);PubMed;KEGG Mine"	8593113186	268.103393554688	148.479666	"9_mapp_batch_00109_sirius_9"	9	NA	NA	NA	NA	9
"C(C(C(C(C(C=O)N)O)O)O)O"	496	1	1	1	2	"0.5177649796815883"	-26.2786676147177	"0.9999999999999999"	88.0459298392394	"C6H13NO5"	"[M + H]+"	"FZHXIRIBWMQPQF"	"InChI=1S/C6H13NO5/c7-3(1-8)5(11)6(12)4(10)2-9/h1,3-6,9-12H,2,7H2"	"Manosamine"	-3.70000005	"91432;123961;318324;3034366;2794221;7015184;12171862;12171863;12172026;12172028;11593537;11687003;13726042;13726047;18594456;22806411;25167563;25167564;25167565;25788878;40484560;56845152;71774568;71306817;86306218;87228962;87356249;87881299;92148083;90477476;89860273;101915849;101915850;102601826;102602064;112756123;123736078;123883487;129629242;129643519;129716922;129736001;131632285;129774390;131854201;134692714;131977457"	"SuperNatural:(SN00156660 SN00227959);ZINC bio:(ZINC01995163 ZINC02508224 ZINC02556395 ZINC03650207 ZINC04353079 ZINC04353080 ZINC04353081 ZINC13507626);additional;MeSH:(123961 318324 2794221);PubMed;NORMAN:(NS00002826);COCONUT:(CNP0023247 CNP0148872);Natural Products:(UNPD43064);PubChem:(91432 123961 318324 3034366 2794221 7015184 12171862 12171863 12172026 12172028 11593537 11687003 13726042 13726047 18594456 22806411 25167563 25167564 25167565 25788878 40484560 56845152 71774568 71306817 86306218 87228962 87356249 87881299 92148083 90477476 89860273 101915849 101915850 102601826 102602064 112756123 123736078 123883487 129629242 129643519 129716922 129736001 131632285 129774390 131854201 134692714 131977457);YMDB Mine;CHEBI:(60313 28328 27503 20993);Training Set;KEGG Mine"	42953662566	180.086624145508	37.6452642	"235_mapp_batch_00109_sirius_250"	250	NA	NA	NA	NA	250
