"canopus_id"	"canopus_molecularFormula"	"canopus_adduct"	"canopus_precursorFormula"	"canopus_NPC#pathway"	"canopus_NPC#pathway Probability"	"canopus_NPC#superclass"	"canopus_NPC#superclass Probability"	"canopus_NPC#class"	"canopus_NPC#class Probability"	"canopus_ClassyFire#most specific class"	"canopus_ClassyFire#most specific class Probability"	"canopus_ClassyFire#level 5"	"canopus_ClassyFire#level 5 Probability"	"canopus_ClassyFire#subclass"	"canopus_ClassyFire#subclass Probability"	"canopus_ClassyFire#class"	"canopus_ClassyFire#class Probability"	"canopus_ClassyFire#superclass"	"canopus_ClassyFire#superclass probability"	"canopus_ClassyFire#all classifications"	"canopus_featureId"	"feature_id"
"19_mapp_batch_00109_sirius_19"	"C42H75NO9"	"[M + H]+"	"C42H75NO9"	"Fatty acids"	0.987966597080231	"Sphingolipids"	0.474616527557373	"Neutral glycosphingolipids"	0.153399735689163	"Alkyl glycosides"	0.166283965110779	"Alkyl glycosides"	0.166283965110779	"Fatty acyl glycosides"	0.274143189191818	"Fatty Acyls"	0.978574872016907	"Lipids and lipid-like molecules"	0.987566113471985	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Hydroxy fatty acids; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acids; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; N-acyl-alpha amino acids; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	19	19
"20_mapp_batch_00109_sirius_20"	"C61H84O23"	"[M + H]+"	"C61H84O23"	"Terpenoids"	0.715616762638092	"Triterpenoids"	0.503265261650085	"Oleanane triterpenoids"	0.211253955960274	"Triterpenoids"	0.931919574737549	NA	NA	"Triterpenoids"	0.931919574737549	"Prenol lipids"	0.610007405281067	"Lipids and lipid-like molecules"	0.968908131122589	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alkyl aryl ethers; Alcohols and polyols; Ethers; Steroids and steroid derivatives; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Hydroxysteroids; Lignan glycosides; Triterpenoids; Acetals; Secondary alcohols; Tertiary alcohols; Fatty acyl glycosides; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Phenol ethers; Benzenoids; Tetrahydrofurans; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Phenolic glycosides; Organic oxygen compounds; Phenoxy compounds; Chemical entities"	20	20
"21_mapp_batch_00109_sirius_21"	"C23H35NO9"	"[M + K]+"	"C23H35NO9"	"Alkaloids"	0.525685787200928	"Sesquiterpenoids"	0.282360225915909	"Open-chain polyketides"	0.212750896811485	"O-glycosyl compounds"	0.568893194198608	"Glycosyl compounds"	0.289185643196106	"Carbohydrates and carbohydrate conjugates"	0.970748960971832	"Organooxygen compounds"	0.999998688697815	"Organic oxygen compounds"	1	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Phenols; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; 1,2-aminoalcohols; Oxanes; O-glycosyl compounds; Benzenoids; Amines; Alkanolamines; Aminosaccharides; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Vinylogous acids; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	21	21
"22_mapp_batch_00109_sirius_22"	"C32H33N5O4S"	"[M + H]+"	"C32H33N5O4S"	"Alkaloids"	0.821713387966156	"Tryptophan alkaloids"	0.512513697147369	"Carboline alkaloids"	0.430275768041611	"Benzenesulfonamides"	0.744211375713348	NA	NA	"Benzenesulfonamides"	0.744211375713348	"Benzene and substituted derivatives"	0.915919065475464	"Benzenoids"	0.99724018573761	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Benzenesulfonamides; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Sulfonyls; Organosulfonamides; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aminosulfonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Benzenesulfonyl compounds; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	22	22
"23_mapp_batch_00109_sirius_23"	"C16H24N4O2S"	"[M + Na]+"	"C16H24N4O2S"	"Alkaloids"	0.813600301742554	"Pseudoalkaloids"	0.490159094333649	"Pyridine alkaloids"	0.342221707105637	"Pyrimidines and pyrimidine derivatives"	0.553804397583008	NA	NA	"Pyrimidines and pyrimidine derivatives"	0.553804397583008	"Diazines"	0.720173597335815	"Organoheterocyclic compounds"	0.9985471367836	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Pyrimidines and pyrimidine derivatives; Ethers; Organonitrogen compounds; Organooxygen compounds; Sulfonyls; Dialkyl ethers; Diazines; Amines; Imidolactams; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	23	23
"24_mapp_batch_00109_sirius_24"	"C11H20N2O5"	"[M + Na]+"	"C11H20N2O5"	"Amino acids and Peptides"	0.985742568969727	"Small peptides"	0.995387852191925	"Dipeptides"	0.999954462051392	"Gamma-glutamyl amino acids"	0.813594877719879	"Peptides"	0.493174135684967	"Amino acids, peptides, and analogues"	0.998885691165924	"Carboxylic acids and derivatives"	0.999998688697815	"Organic acids and derivatives"	1	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha amino acids; Alpha amino acids; Amines; Primary amines; Gamma-glutamyl amino acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Glutamine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities"	24	24
"25_mapp_batch_00109_sirius_25"	"C13H24O12"	"[M + Na]+"	"C13H24O12"	"Carbohydrates"	0.782663881778717	"Fatty acyl glycosides"	0.532078504562378	"Disaccharides"	0.948561668395996	"Saccharolipids"	0.885408699512482	NA	NA	NA	NA	"Saccharolipids"	0.885408699512482	"Lipids and lipid-like molecules"	0.943312168121338	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Sugar acids and derivatives; Ethers; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Hydroxy fatty acids; Monocarboxylic acids and derivatives; Carboxylic acid esters; Hexoses; Monosaccharides; Disaccharides; Acetals; Secondary alcohols; Fatty acyl glycosides; Carbonyl compounds; Heterocyclic fatty acids; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Fatty acyl glycosides of mono- and disaccharides; Fatty Acyls; Saccharolipids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	25	25
"27_mapp_batch_00109_sirius_27"	"C17H23N5O5"	"[M + H]+"	"C17H23N5O5"	"Carbohydrates"	0.646906971931458	"Nucleosides"	0.696160793304443	"Purine nucleos(t)ides"	0.540633022785187	"Alpha amino acids and derivatives"	0.582804620265961	"Amino acids and derivatives"	0.813731729984283	"Amino acids, peptides, and analogues"	0.813374757766724	"Carboxylic acids and derivatives"	0.929003894329071	"Organic acids and derivatives"	0.937507092952728	"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Substituted imidazoles; N-substituted imidazoles; Benzenoids; Amines; Primary amines; Tetrahydrofurans; Imidolactams; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	27	27
"28_mapp_batch_00109_sirius_28"	"C12H16O8"	"[M + H]+"	"C12H16O8"	"Polyketides"	0.885941326618195	"Cyclic polyketides"	0.98213654756546	"4-pyrone derivatives"	0.461867481470108	"Hexoses"	0.995757520198822	"Monosaccharides"	0.99990701675415	"Carbohydrates and carbohydrate conjugates"	0.999998211860657	"Organooxygen compounds"	1	"Organic oxygen compounds"	1	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Phenols; Ethers; Primary alcohols; Organooxygen compounds; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Phenol ethers; Cyclic ketones; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Phenoxy compounds; Chemical entities"	28	28
"31_mapp_batch_00109_sirius_32"	"C18H20N6O3"	"[M + H]+"	"C18H20N6O3"	"Amino acids and Peptides"	0.206242367625237	"Small peptides"	0.595680952072144	"Dipeptides"	0.485092639923096	"N-acyl-alpha amino acids and derivatives"	0.209710791707039	"Amino acids and derivatives"	0.644935488700867	"Amino acids, peptides, and analogues"	0.649982810020447	"Carboxylic acids and derivatives"	0.989711403846741	"Organic acids and derivatives"	0.994791030883789	"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Benzoyl derivatives; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Primary carboxylic acid amides; Secondary carboxylic acid amides; Benzene and substituted derivatives; Benzenoids; Amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	32	32
"32_mapp_batch_00109_sirius_34"	"C24H50N2O2"	"[M + H]+"	"C24H50N2O2"	"Fatty acids"	0.609780311584473	"Sphingolipids"	0.566211760044098	"Sphingoid bases"	0.503966569900513	"1,2-aminoalcohols"	0.829867362976074	"Alkanolamines"	0.888296186923981	"Amines"	0.99966561794281	"Organonitrogen compounds"	0.999999761581421	"Organic nitrogen compounds"	0.99999988079071	"Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Trialkylamines; Amines; Tertiary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	34	34
