"id_canopus"	"molecularFormula_canopus"	"adduct_canopus"	"precursorFormula_canopus"	"NPC#pathway_canopus"	"NPC#pathway Probability_canopus"	"NPC#superclass_canopus"	"NPC#superclass Probability_canopus"	"NPC#class_canopus"	"NPC#class Probability_canopus"	"ClassyFire#most specific class_canopus"	"ClassyFire#most specific class Probability_canopus"	"ClassyFire#level 5_canopus"	"ClassyFire#level 5 Probability_canopus"	"ClassyFire#subclass_canopus"	"ClassyFire#subclass Probability_canopus"	"ClassyFire#class_canopus"	"ClassyFire#class Probability_canopus"	"ClassyFire#superclass_canopus"	"ClassyFire#superclass probability_canopus"	"ClassyFire#all classifications_canopus"	"featureId_canopus"	"feature_id"
"12_mapp_batch_00111_sirius_12"	"C18H27Cl2NO2"	"[M + H]+"	"C18H27Cl2NO2"	"Alkaloids"	0.936897337436676	"Pseudoalkaloids"	0.105748683214188	"Phenylalanine-derived alkaloids"	0.194758579134941	"Amino acids and derivatives"	0.813070058822632	"Amino acids and derivatives"	0.813070058822632	"Amino acids, peptides, and analogues"	0.807678282260895	"Carboxylic acids and derivatives"	0.97028648853302	"Organic acids and derivatives"	0.991975963115692	"Organic compounds; Amino acids, peptides, and analogues; Halobenzenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Aryl chlorides; Carboxylic acid derivatives; Chlorobenzenes; Organochlorides; Tertiary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Dichlorobenzenes; Aryl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	12	12
"13_mapp_batch_00111_sirius_13"	"C20H18O11"	"[M + H]+"	"C20H18O11"	"Shikimates and Phenylpropanoids"	0.999865055084228	"Flavonoids"	0.999887347221374	"Flavonols"	0.999031186103821	"Flavonoid-3-O-glycosides"	0.998101055622101	"Flavonoid O-glycosides"	0.999850273132324	"Flavonoid glycosides"	0.999928712844849	"Flavonoids"	0.999728381633758	"Phenylpropanoids and polyketides"	0.998500823974609	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrans; Benzopyrans; Alcohols and polyols; Phenols; Catechols; Chromones; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Primary alcohols; Organooxygen compounds; Flavonoids; Pyranones and derivatives; Flavonoid glycosides; Benzenediols; Pentoses; Monosaccharides; Flavonoid O-glycosides; Flavones; Acetals; Secondary alcohols; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Benzenoids; Tetrahydrofurans; 3'-hydroxyflavonoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 7-hydroxyflavonoids; 1-benzopyrans; Flavonoid-3-O-glycosides; Vinylogous acids; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities"	13	13
"14_mapp_batch_00111_sirius_14"	"C35H36N4O5"	"[M + H]+"	"C35H36N4O5"	"Alkaloids"	0.954082489013672	"Tryptophan alkaloids"	0.952645242214203	"Carboline alkaloids"	0.812558233737946	"Chlorins"	0.716185688972473	NA	NA	"Chlorins"	0.716185688972473	"Tetrapyrroles and derivatives"	0.999777495861054	"Organoheterocyclic compounds"	0.999980926513672	"Organic compounds; Organoheterocyclic compounds; Pyrroles; Porphyrins; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Chlorins; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Tetrapyrroles and derivatives; Carbonyl compounds; Substituted pyrroles; Methyl esters; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	14	14
"15_mapp_batch_00111_sirius_15"	"C24H20O7"	"[M + H]+"	"C24H20O7"	"Shikimates and Phenylpropanoids"	0.975865721702576	"Lignans"	0.481032490730286	"Simple coumarins"	0.216416135430336	"Coumaric acid esters"	0.869472563266754	"Hydroxycinnamic acid esters"	0.915002226829529	"Hydroxycinnamic acids and derivatives"	0.534697532653809	"Cinnamic acids and derivatives"	0.652707993984222	"Phenylpropanoids and polyketides"	0.906557321548462	"Organic compounds; Styrenes; Phenols; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Coumaric acid esters; Cinnamic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Hydroxycinnamic acids and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Hydroxycinnamic acid esters; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities"	15	15
"16_mapp_batch_00111_sirius_16"	"C21H24O10"	"[M + H]+"	"C21H24O10"	"Shikimates and Phenylpropanoids"	0.999529361724854	"Flavonoids"	0.999914765357971	"Chalcones"	0.99897289276123	"Flavonoid O-glycosides"	0.945652902126312	"Flavonoid O-glycosides"	0.945652902126312	"Flavonoid glycosides"	0.959348857402802	"Flavonoids"	0.967043161392212	"Phenylpropanoids and polyketides"	0.998497605323792	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Ketones; Alcohols and polyols; Phenols; Resorcinols; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Primary alcohols; Benzoyl derivatives; Organooxygen compounds; Flavonoids; Butyrophenones; Flavonoid glycosides; Benzenediols; Hexoses; Monosaccharides; Flavonoid O-glycosides; Chalcones and dihydrochalcones; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Phenol ethers; Benzenoids; Linear 1,3-diarylpropanoids; 2'-Hydroxy-dihydrochalcones; Cinnamylphenols; Aryl ketones; Aryl alkyl ketones; Vinylogous acids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Phenolic glycosides; Phenylketones; Alkyl-phenylketones; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Phenoxy compounds; Chemical entities"	16	16
"17_mapp_batch_00111_sirius_17"	"C16H33NO2"	"[M - H2O + H]+"	"C16H31NO"	"Fatty acids"	0.947860300540924	"Fatty amides"	0.962623000144958	"N-acyl amines"	0.320252627134323	"Fatty amides"	0.701087296009064	NA	NA	"Fatty amides"	0.701087296009064	"Fatty Acyls"	0.510067582130432	"Lipids and lipid-like molecules"	0.685019552707672	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Alkanolamines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	17	17
"18_mapp_batch_00111_sirius_18"	"C15H21NO8"	"[M + H]+"	"C15H21NO8"	"Amino acids and Peptides"	0.985326886177063	"Amino acid glycosides"	0.980758726596832	"Cyanogenic glycosides"	0.987159967422485	"Alpha amino acids"	0.666022539138794	"Amino acids and derivatives"	0.18376250565052	"Amino acids, peptides, and analogues"	0.175981268286705	"Carboxylic acids and derivatives"	0.663059234619141	"Organic acids and derivatives"	0.585135281085968	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Nitriles; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Alpha amino acids; Benzenoids; Fatty acyl glycosides of mono- and disaccharides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic cyanides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	18	18
"19_mapp_batch_00111_sirius_19"	"C16H33NO"	"[M + H]+"	"C16H33NO"	"Fatty acids"	0.93502277135849	"Fatty amides"	0.955316543579102	"Primary amides"	0.912001490592956	"Fatty amides"	0.552645325660706	NA	NA	"Fatty amides"	0.552645325660706	"Fatty Acyls"	0.469691842794418	"Lipids and lipid-like molecules"	0.616526067256927	"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	19	19
"20_mapp_batch_00111_sirius_20"	"C36H58NO2P"	"[M + H]+"	"C36H58NO2P"	"Terpenoids"	0.814610362052917	"Diterpenoids"	0.279957950115204	"Acyclic triterpenoids"	0.14089447259903	"Prenol lipids"	0.667384922504425	NA	NA	NA	NA	"Prenol lipids"	0.667384922504425	"Lipids and lipid-like molecules"	0.982231438159943	"Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organophosphorus compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	20	20
"21_mapp_batch_00111_sirius_21"	"C43H79NO10"	"[M + Na]+"	"C43H79NO10"	"Fatty acids"	0.999985814094544	"Glycerolipids"	0.999064266681671	"Glycosyldiacylglycerols"	0.991617262363434	"Amino acids and derivatives"	0.952490210533142	"Amino acids and derivatives"	0.952490210533142	"Amino acids, peptides, and analogues"	0.951257050037384	"Carboxylic acids and derivatives"	0.999990105628967	"Organic acids and derivatives"	0.999995708465576	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Glycerolipids; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Lineolic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Amines; Primary amines; Aminosaccharides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	21	21
"22_mapp_batch_00111_sirius_22"	"C15H18O8"	"[M + Na]+"	"C15H18O8"	"Shikimates and Phenylpropanoids"	0.988486647605896	"Phenylpropanoids (C6-C3)"	0.978951513767242	"Cinnamic acids and derivatives"	0.977050840854645	"Phenolic glycosides"	0.911913156509399	"Glycosyl compounds"	0.914166033267975	"Carbohydrates and carbohydrate conjugates"	0.920005559921265	"Organooxygen compounds"	1	"Organic oxygen compounds"	1	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Styrenes; Alcohols and polyols; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Cinnamic acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Hydroxycinnamic acids and derivatives; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Phenol ethers; Benzenoids; Cinnamic acids; Coumaric acids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Phenolic glycosides; Organic oxygen compounds; Phenoxy compounds; Chemical entities"	22	22
"23_mapp_batch_00111_sirius_23"	"C15H10O7"	"[M + H]+"	"C15H10O7"	"Shikimates and Phenylpropanoids"	0.99907112121582	"Flavonoids"	0.998793601989746	"Flavonols"	0.983447074890137	"Flavonols"	0.956940114498138	"Flavonols"	0.956940114498138	"Flavones"	0.99895042181015	"Flavonoids"	0.995281398296356	"Phenylpropanoids and polyketides"	0.997993111610413	"Organic compounds; Organoheterocyclic compounds; Pyrans; Benzopyrans; Alcohols and polyols; Phenols; Catechols; Chromones; Phenylpropanoids and polyketides; Organic acids and derivatives; Organooxygen compounds; Flavonoids; Pyranones and derivatives; Flavonols; Benzenediols; Benzenetriols and derivatives; Flavones; Benzene and substituted derivatives; Polyols; Benzenoids; 3-hydroxyflavonoids; 3'-hydroxyflavonoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 7-hydroxyflavonoids; 1-benzopyrans; Vinylogous acids; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities"	23	23
"25_mapp_batch_00111_sirius_25"	"C24H20O7"	"[M + H]+"	"C24H20O7"	"Shikimates and Phenylpropanoids"	0.976599037647247	"Lignans"	0.477471768856049	"Simple coumarins"	0.214931607246399	"Coumaric acid esters"	0.874395608901978	"Hydroxycinnamic acid esters"	0.918094873428345	"Hydroxycinnamic acids and derivatives"	0.544671773910522	"Cinnamic acids and derivatives"	0.653131008148193	"Phenylpropanoids and polyketides"	0.907061576843262	"Organic compounds; Styrenes; Phenols; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Coumaric acid esters; Cinnamic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Hydroxycinnamic acids and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Hydroxycinnamic acid esters; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities"	25	25
"26_mapp_batch_00111_sirius_26"	"C9H8O3"	"[M + H]+"	"C9H8O3"	"Shikimates and Phenylpropanoids"	0.999420404434204	"Phenylpropanoids (C6-C3)"	0.99892246723175	"Cinnamic acids and derivatives"	0.996681869029999	"Coumaric acids"	0.99679309129715	"Coumaric acids and derivatives"	0.99526983499527	"Hydroxycinnamic acids and derivatives"	0.998295485973358	"Cinnamic acids and derivatives"	0.997909247875214	"Phenylpropanoids and polyketides"	0.999895572662354	"Organic compounds; Styrenes; Coumaric acids and derivatives; Phenols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Cinnamic acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Hydroxycinnamic acids and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Hydroxycinnamic acids; Cinnamic acids; Coumaric acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities"	26	26
"27_mapp_batch_00111_sirius_27"	"C24H49NO7"	"[M + H]+"	"C24H49NO7"	"Fatty acids"	0.7760049700737	"Glycerophospholipids"	0.620488524436951	"Monoacylglycerols"	0.408772557973862	"Fatty acid esters"	0.908229053020477	NA	NA	"Fatty acid esters"	0.908229053020477	"Fatty Acyls"	0.808350086212158	"Lipids and lipid-like molecules"	0.811738908290863	"Organic compounds; Lipids and lipid-like molecules; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	27	27
