"smiles_sirius"	"confidenceRank_sirius"	"structurePerIdRank_sirius"	"formulaRank_sirius"	"#adducts_sirius"	"#predictedFPs_sirius"	"ConfidenceScore_sirius"	"CSI:FingerIDScore_sirius"	"ZodiacScore_sirius"	"SiriusScore_sirius"	"molecularFormula_sirius"	"adduct_sirius"	"InChIkey2D_sirius"	"InChI_sirius"	"name_sirius"	"xlogp_sirius"	"pubchemids_sirius"	"links_sirius"	"dbflags_sirius"	"ionMass_sirius"	"retentionTimeInSeconds_sirius"	"id_sirius"	"featureId_sirius"	"chebiid_sirius"	"chebiasciiname_sirius"	"searchscore_sirius"	"entitystar_sirius"	"feature_id"
"C(C(=O)O)C(CC(=O)O)(C(=O)O)O"	209	1	1	2	2	"0.6242561105358796"	-14.6238496698931	1	74.0612248137612	"C6H8O7"	"[M + H]+"	"KRKNYBCHXYNGOX"	"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)"	"Chemfill"	-1.79005051	"311;24802;31348;4099777;3853591;4342083;9815540;12303294;12303295;10012881;9990172;10241686;10313505;19782904;16213286;16213403;16217547;16219104;22051957;25113638;59575930;76764134;87060892;88113319;87111074;88162338;87306242;102066902;129761155"	"HMDB:(94);PubChem class - food;SuperNatural:(SN00317829 SN00001730);ZINC bio:(ZINC00895081);additional;HSDB:(77-92-9);MeSH:(311 31348);Plantcyc:(CIT);PubMed;NORMAN:(NS00007335 NS00042537);COCONUT:(CNP0149674 CNP0346802 CNP0354288);KNApSAcK:(7619);Natural Products:(UNPD145647);PubChem:(311 24802 31348 4099777 3853591 4342083 9815540 12303294 12303295 10012881 9990172 10241686 10313505 19782904 16213286 16213403 16217547 16219104 22051957 25113638 59575930 76764134 87060892 88113319 87111074 88162338 87306242 102066902 129761155);CHEBI:(16947 35806 76049 35810 35809 35802 30769);PubChem class - bio and metabolites;KEGG:(C00158);PubChem class - safety and toxic;YMDB:(86);Training Set;PubChem class - drug;Biocyc:(CPD1UA-5664 CIT)"	255847294	193.034362792969	50.3040852	"1096_mapp_batch_00111_sirius_1131"	1131	"CHEBI:30769"	"citric acid"	"2.42"	"3"	1131
"C(C(=O)O)C(CC(=O)O)(C(=O)O)O"	253	1	1	2	2	"0.5824636080244062"	-6.43530784974323	1	101.124571915087	"C6H8O7"	"[M - H2O + H]+"	"KRKNYBCHXYNGOX"	"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)"	"Chemfill"	-1.79005051	"311;24802;31348;4099777;3853591;4342083;9815540;12303294;12303295;10012881;9990172;10241686;10313505;19782904;16213286;16213403;16217547;16219104;22051957;25113638;59575930;76764134;87060892;88113319;87111074;88162338;87306242;102066902;129761155"	"HMDB:(94);PubChem class - food;SuperNatural:(SN00317829 SN00001730);ZINC bio:(ZINC00895081);additional;HSDB:(77-92-9);MeSH:(311 31348);Plantcyc:(CIT);PubMed;NORMAN:(NS00007335 NS00042537);COCONUT:(CNP0149674 CNP0346802 CNP0354288);KNApSAcK:(7619);Natural Products:(UNPD145647);PubChem:(311 24802 31348 4099777 3853591 4342083 9815540 12303294 12303295 10012881 9990172 10241686 10313505 19782904 16213286 16213403 16217547 16219104 22051957 25113638 59575930 76764134 87060892 88113319 87111074 88162338 87306242 102066902 129761155);CHEBI:(16947 35806 76049 35810 35809 35802 30769);PubChem class - bio and metabolites;KEGG:(C00158);PubChem class - safety and toxic;YMDB:(86);Training Set;PubChem class - drug;Biocyc:(CPD1UA-5664 CIT)"	255847294	175.023742675781	49.588578	"1093_mapp_batch_00111_sirius_1127"	1127	"CHEBI:30769"	"citric acid"	"2.42"	"3"	1127
"C(C(C(=O)O)N)C(=O)N"	9	1	1	2	2	"0.9834743238883663"	-0.452771068633273	1	62.3560769224184	"C4H8N2O3"	"[M + H]+"	"DCXYFEDJOCDNAF"	"InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)"	"agedoite"	-2.25158358	"236;6267;439600;4333740;5247114;5460880;5460874;5460875;5460877;5460878;5460881;6991971;6992089;16213309;16213311;16213450;16217343;16217399;16217568;16217723;16217724;53753695;58203004;71309330;71309891;87528072;88447182;91065355;101916026;122227568;124202806;131667586;134231473;136814877;138112706"	"HMDB:(168 33780);PubChem class - food;SuperNatural:(SN00002221 SN00156119);ZINC bio:(ZINC01529313 ZINC01532556);additional;HSDB:(70-47-3);MeSH:(236 6267 6992089);Plantcyc:(ASN B-DIDO-HEX-1:5_6:A CPD-3633);PubMed;NORMAN:(NS00002372);COCONUT:(CNP0405192 CNP0267849);KNApSAcK:(1341);Natural Products:(UNPD141469 UNPD81200);PubChem:(236 6267 439600 4333740 5247114 5460880 5460874 5460875 5460877 5460878 5460881 6991971 6992089 16213309 16213311 16213450 16217343 16217399 16217568 16217723 16217724 53753695 58203004 71309330 71309891 87528072 88447182 91065355 101916026 122227568 124202806 131667586 134231473 136814877 138112706);CHEBI:(32660 32651 28159 17196 74337 32661 32657 32656 22653 58048 32650);PubChem class - bio and metabolites;KEGG:(C00152 C01905 C16438);PubChem class - safety and toxic;YMDB:(849 226);Training Set;PubChem class - drug;Biocyc:(ASN CPD-3633)"	255847294	133.060653686523	37.854963	"193_mapp_batch_00111_sirius_198"	198	"CHEBI:22653"	"asparagine"	"2.79"	"3"	198
"C(C(C(=O)O)N)C(CC(=O)O)(C(=O)O)O"	1353	1	1	1	2	"0.21907852955932158"	-69.5369046873622	1	46.7656026648918	"C7H11NO7"	"[M + H]+"	"BJJRSWKONYBDFQ"	"InChI=1S/C7H11NO7/c8-3(5(11)12)1-7(15,6(13)14)2-4(9)10/h3,15H,1-2,8H2,(H,9,10)(H,11,12)(H,13,14)"	"null"	-4.69999981	"101417587"	"COCONUT:(CNP0182260);Natural Products:(UNPD23891);PubChem:(101417587);SuperNatural:(SN00310678);KEGG Mine"	8593113090	222.060485839844	48.3137682	"364_mapp_batch_00111_sirius_375"	375	NA	NA	NA	NA	375
"C(C(C(=O)O)NC(=O)C1=C(N=C(C(=N1)N)C(=O)NC(CO)C(=O)O)N)O"	2398	1	2	2	4	"0.07204400842843567"	-431.527453330314	0.227638190954774	2.49380751980984	"C12H16N6O8"	"[M - H2O + H]+"	"XHNJXRDGTITISI"	"InChI=1S/C12H16N6O8/c13-7-5(9(21)15-3(1-19)11(23)24)17-8(14)6(18-7)10(22)16-4(2-20)12(25)26/h3-4,19-20H,1-2H2,(H2,14,17)(H2,13,18)(H,15,21)(H,16,22)(H,23,24)(H,25,26)"	"null"	-2.70000005	"24852797;53389120;70870817;138690775"	"PubChem:(24852797 53389120 70870817 138690775);PubMed;PubChem class - drug"	33554498	355.099945068359	103.32078	"584_mapp_batch_00111_sirius_597"	597	NA	NA	NA	NA	597
"C(C(C(=O)O)NCC(C(=O)O)NCC(=O)N)C(=O)O"	1911	1	1	1	2	"0.14277442565358814"	-377.005965402441	1	26.8670285005508	"C9H15N3O7"	"[M + H]+"	"YRSDOJQPYZOCMY"	"InChI=1S/C9H15N3O7/c10-6(13)3-12-5(9(18)19)2-11-4(8(16)17)1-7(14)15/h4-5,11-12H,1-3H2,(H2,10,13)(H,14,15)(H,16,17)(H,18,19)"	"Lycomarasmine"	-7.5	"441571;3084018;4480504;129095539"	"COCONUT:(CNP0167466);Natural Products:(UNPD44942 UNPD129830);PubChem:(441571 3084018 4480504 129095539);SuperNatural:(SN00393659 SN00364678);CHEBI:(6594);KEGG:(C08496)"	3178786	278.099372532057	219.491004	"2321_mapp_batch_00111_sirius_2590"	2590	NA	NA	NA	NA	2590
"C(C(C(C(C(C(C(=O)O)O)O)O)O)N)O"	955	1	1	2	2	"0.2969470624634009"	-55.7425407076766	1	37.5334808135599	"C7H15NO7"	"[M - H2O + H]+"	"VPLLYEXGSJYTJP"	"InChI=1S/C7H15NO7/c8-2(1-9)3(10)4(11)5(12)6(13)7(14)15/h2-6,9-13H,1,8H2,(H,14,15)"	"null"	-6.5	"10977133;13036919"	"COCONUT:(CNP0335690);Natural Products:(UNPD156082);PubChem:(10977133 13036919)"	2129922	208.081588745117	122.888214	"3112_mapp_batch_00111_sirius_3552"	3552	NA	NA	NA	NA	3552
"C(C(C(C(C(C(C(=O)O)O)O)O)O)N)O"	761	1	1	2	2	"0.3424040950599436"	-61.0503112078902	1	56.2313382434133	"C7H15NO7"	"[M - H2O + H]+"	"VPLLYEXGSJYTJP"	"InChI=1S/C7H15NO7/c8-2(1-9)3(10)4(11)5(12)6(13)7(14)15/h2-6,9-13H,1,8H2,(H,14,15)"	"null"	-6.5	"10977133;13036919"	"COCONUT:(CNP0335690);Natural Products:(UNPD156082);PubChem:(10977133 13036919)"	2129922	208.081520080566	163.598016	"3660_mapp_batch_00111_sirius_4332"	4332	NA	NA	NA	NA	4332
"C(C(C(C(C(C(C(=O)O)O)O)O)O)N)O"	883	1	1	2	2	"0.314246624280611"	-78.342214257574	1	17.8610031672175	"C7H15NO7"	"[M - H2O + H]+"	"VPLLYEXGSJYTJP"	"InChI=1S/C7H15NO7/c8-2(1-9)3(10)4(11)5(12)6(13)7(14)15/h2-6,9-13H,1,8H2,(H,14,15)"	"null"	-6.5	"10977133;13036919"	"COCONUT:(CNP0335690);Natural Products:(UNPD156082);PubChem:(10977133 13036919)"	2129922	208.08145904541	113.660646	"3114_mapp_batch_00111_sirius_3557"	3557	NA	NA	NA	NA	3557
"C(C(C(C(C(C=O)N)O)O)O)O"	444	1	1	1	2	"0.45633381805496914"	-34.6159131472889	1	68.002028525491	"C6H13NO5"	"[M + H]+"	"FZHXIRIBWMQPQF"	"InChI=1S/C6H13NO5/c7-3(1-8)5(11)6(12)4(10)2-9/h1,3-6,9-12H,2,7H2"	"Manosamine"	-3.70000005	"91432;123961;318324;3034366;2794221;7015184;12171862;12171863;12172026;12172028;11593537;11687003;13726042;13726047;18594456;22806411;25167563;25167564;25167565;25788878;40484560;56845152;71774568;71306817;86306218;87228962;87356249;87881299;92148083;90477476;89860273;101915849;101915850;102601826;102602064;112756123;123736078;123883487;129629242;129643519;129716922;129736001;131632285;129774390;131854201;134692714;131977457"	"SuperNatural:(SN00156660 SN00227959);ZINC bio:(ZINC01995163 ZINC02508224 ZINC02556395 ZINC03650207 ZINC04353079 ZINC04353080 ZINC04353081 ZINC13507626);additional;MeSH:(123961 318324 2794221);PubMed;NORMAN:(NS00002826);COCONUT:(CNP0023247 CNP0148872);Natural Products:(UNPD43064);PubChem:(91432 123961 318324 3034366 2794221 7015184 12171862 12171863 12172026 12172028 11593537 11687003 13726042 13726047 18594456 22806411 25167563 25167564 25167565 25788878 40484560 56845152 71774568 71306817 86306218 87228962 87356249 87881299 92148083 90477476 89860273 101915849 101915850 102601826 102602064 112756123 123736078 123883487 129629242 129643519 129716922 129736001 131632285 129774390 131854201 134692714 131977457);YMDB Mine;CHEBI:(60313 28328 27503 20993);Training Set;KEGG Mine"	42953662566	180.086456298828	62.141868	"3155_mapp_batch_00111_sirius_3610"	3610	NA	NA	NA	NA	3610
"C(C(C(C(C(C=O)N)O)O)O)O"	855	1	1	2	2	"0.3219836673134945"	-27.663685762509	1	66.7073152096387	"C6H13NO5"	"[M - H2O + H]+"	"FZHXIRIBWMQPQF"	"InChI=1S/C6H13NO5/c7-3(1-8)5(11)6(12)4(10)2-9/h1,3-6,9-12H,2,7H2"	"Manosamine"	-3.70000005	"91432;123961;318324;3034366;2794221;7015184;12171862;12171863;12172026;12172028;11593537;11687003;13726042;13726047;18594456;22806411;25167563;25167564;25167565;25788878;40484560;56845152;71774568;71306817;86306218;87228962;87356249;87881299;92148083;90477476;89860273;101915849;101915850;102601826;102602064;112756123;123736078;123883487;129629242;129643519;129716922;129736001;131632285;129774390;131854201;134692714;131977457"	"SuperNatural:(SN00156660 SN00227959);ZINC bio:(ZINC01995163 ZINC02508224 ZINC02556395 ZINC03650207 ZINC04353079 ZINC04353080 ZINC04353081 ZINC13507626);additional;MeSH:(123961 318324 2794221);PubMed;NORMAN:(NS00002826);COCONUT:(CNP0023247 CNP0148872);Natural Products:(UNPD43064);PubChem:(91432 123961 318324 3034366 2794221 7015184 12171862 12171863 12172026 12172028 11593537 11687003 13726042 13726047 18594456 22806411 25167563 25167564 25167565 25788878 40484560 56845152 71774568 71306817 86306218 87228962 87356249 87881299 92148083 90477476 89860273 101915849 101915850 102601826 102602064 112756123 123736078 123883487 129629242 129643519 129716922 129736001 131632285 129774390 131854201 134692714 131977457);YMDB Mine;CHEBI:(60313 28328 27503 20993);Training Set;KEGG Mine"	42953662566	162.076263427734	45.7137222	"2386_mapp_batch_00111_sirius_2658"	2658	NA	NA	NA	NA	2658
"C(C(C(C(C(C=O)N)O)O)O)O"	1636	1	1	1	2	"0.18036325058016695"	-64.795807852976	1	58.245572294315	"C6H13NO5"	"[M + H]+"	"FZHXIRIBWMQPQF"	"InChI=1S/C6H13NO5/c7-3(1-8)5(11)6(12)4(10)2-9/h1,3-6,9-12H,2,7H2"	"Manosamine"	-3.70000005	"91432;123961;318324;3034366;2794221;7015184;12171862;12171863;12172026;12172028;11593537;11687003;13726042;13726047;18594456;22806411;25167563;25167564;25167565;25788878;40484560;56845152;71774568;71306817;86306218;87228962;87356249;87881299;92148083;90477476;89860273;101915849;101915850;102601826;102602064;112756123;123736078;123883487;129629242;129643519;129716922;129736001;131632285;129774390;131854201;134692714;131977457"	"SuperNatural:(SN00156660 SN00227959);ZINC bio:(ZINC01995163 ZINC02508224 ZINC02556395 ZINC03650207 ZINC04353079 ZINC04353080 ZINC04353081 ZINC13507626);additional;MeSH:(123961 318324 2794221);PubMed;NORMAN:(NS00002826);COCONUT:(CNP0023247 CNP0148872);Natural Products:(UNPD43064);PubChem:(91432 123961 318324 3034366 2794221 7015184 12171862 12171863 12172026 12172028 11593537 11687003 13726042 13726047 18594456 22806411 25167563 25167564 25167565 25788878 40484560 56845152 71774568 71306817 86306218 87228962 87356249 87881299 92148083 90477476 89860273 101915849 101915850 102601826 102602064 112756123 123736078 123883487 129629242 129643519 129716922 129736001 131632285 129774390 131854201 134692714 131977457);YMDB Mine;CHEBI:(60313 28328 27503 20993);Training Set;KEGG Mine"	42953662566	180.086669921875	168.921186	"1601_mapp_batch_00111_sirius_1733"	1733	NA	NA	NA	NA	1733
"C(C(C(C(C(C=O)N)O)O)O)O"	469	1	1	1	2	"0.44195831224463233"	-28.5478843271949	1	82.4132352912283	"C6H13NO5"	"[M + H]+"	"FZHXIRIBWMQPQF"	"InChI=1S/C6H13NO5/c7-3(1-8)5(11)6(12)4(10)2-9/h1,3-6,9-12H,2,7H2"	"Manosamine"	-3.70000005	"91432;123961;318324;3034366;2794221;7015184;12171862;12171863;12172026;12172028;11593537;11687003;13726042;13726047;18594456;22806411;25167563;25167564;25167565;25788878;40484560;56845152;71774568;71306817;86306218;87228962;87356249;87881299;92148083;90477476;89860273;101915849;101915850;102601826;102602064;112756123;123736078;123883487;129629242;129643519;129716922;129736001;131632285;129774390;131854201;134692714;131977457"	"SuperNatural:(SN00156660 SN00227959);ZINC bio:(ZINC01995163 ZINC02508224 ZINC02556395 ZINC03650207 ZINC04353079 ZINC04353080 ZINC04353081 ZINC13507626);additional;MeSH:(123961 318324 2794221);PubMed;NORMAN:(NS00002826);COCONUT:(CNP0023247 CNP0148872);Natural Products:(UNPD43064);PubChem:(91432 123961 318324 3034366 2794221 7015184 12171862 12171863 12172026 12172028 11593537 11687003 13726042 13726047 18594456 22806411 25167563 25167564 25167565 25788878 40484560 56845152 71774568 71306817 86306218 87228962 87356249 87881299 92148083 90477476 89860273 101915849 101915850 102601826 102602064 112756123 123736078 123883487 129629242 129643519 129716922 129736001 131632285 129774390 131854201 134692714 131977457);YMDB Mine;CHEBI:(60313 28328 27503 20993);Training Set;KEGG Mine"	42953662566	180.08650970459	37.8446748	"112_mapp_batch_00111_sirius_113"	113	NA	NA	NA	NA	113
