	sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_distal_fold_change_log2	sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_distal_p_value	sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_proximal_fold_change_log2	sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_proximal_p_value	sample_Biscutella laevigata_treatment_distal_vs_sample_Biscutella laevigata_treatment_proximal_fold_change_log2	sample_Biscutella laevigata_treatment_distal_vs_sample_Biscutella laevigata_treatment_proximal_p_value
2-[3-(4-Hydroxy-3,5-dimethoxyphenyl)prop-2-enoyloxy]butanedioic acid	0.123833665859746	0.917872954102209	0.12688579408068	0.913842014374323	0.00305212822093406	0.999942348848356
(R)-Pantothenic acid 4'-O-b-D-glucoside	-0.22423452137628	0.746520987383472	-0.291460557726053	0.632194608847151	-0.0672260363497735	0.977796879865839
3-(4-hydroxy-3-methoxyphenyl)prop-2-enoic acid	-0.356064312262373	0.559082789005076	-0.00283538352913773	0.99994815337551	0.353228928733236	0.564387051230215
(2E)-11-hydroxyundec-2-enoic acid	-0.278068589483001	0.69281704739767	-0.435394171460938	0.469214367404514	-0.157325581977936	0.913070873813526
glutamic acid	0.0570380691681172	0.982037161022081	-0.0125137285103452	0.999166573327057	-0.0695517976784624	0.973671092053126
Pyrronamycin A	-0.237788557071165	0.657495639792811	-0.229421167101204	0.674179900345317	0.0083673899699602	0.999524970265521
N-[4-[(4,6-dimethyl-2-pyrimidinyl)sulfamoyl]phenyl]-2-phenyl-4-quinolinecarboxamide	-0.447081560670622	0.443273632632797	-0.283882280769999	0.674593774225963	0.163199279900623	0.904657086821297
3-(4-hydroxyphenyl)lactic acid	0.0160423299912833	0.99642925396691	0.556962116460478	0.033635405679558	0.540919786469195	0.0370447129918646
Thaumatin b, recombinant	-0.0162292986939503	0.998612330574413	-0.224391969925822	0.801182934225888	-0.208162671231872	0.827269891140332
3-[4-(diethylsulfamoyl)phenyl]-N-[4-(4-morpholinyl)phenyl]-2-propenamide	-0.4670134902904	0.46157658381698	-0.203471633875942	0.823956268476059	0.263541856414458	0.791636327893432
3-Methyl-2-[[2,3,4-trihydroxy-5-(hydroxymethyl)oxolan-2-yl]methylamino]pentanoic acid	-0.290710986980233	0.653102639168109	-0.313872632113487	0.61629413319652	-0.0231616451332542	0.997669260404014
h-gamma-Glu-leu-oh	-0.000753390168973646	0.999993495004413	0.690714541049251	0.0160047096580864	0.691467931218225	0.0159439235715461
Methyl 3,4,5-trihydroxycyclohexene-1-carboxylate	0.203089934023721	0.824041396189538	-0.0328151198265552	0.995584057759595	-0.235905053850276	0.776628563311939
methionine	0.262313161676519	0.672224274162793	0.295461467308479	0.602772047102635	0.03314830563196	0.99173054196166
12-aminododecanoic acid	0.0513094865631026	0.971034058249341	-0.355261671669224	0.400613722904193	-0.406571158232326	0.305890966620854
N-[4-cyano-5-methyl-2-oxo-3-(trifluoromethyl)-1H-pyrrol-3-yl]cyclopropanecarboxamide	0.551283373301028	0.241999855992641	0.567785207457099	0.222956092680438	0.0165018341560702	0.997610257994043
docosanedioic acid	0.300961315041114	0.64311883508628	0.0799559327561012	0.971786803172509	-0.221005382285013	0.771602433743775
sinapic acid	0.310182065284242	0.683931709487936	0.117666201234603	0.95076923457408	-0.192515864049639	0.848364733981232
vanillic acid	-0.00991269181175466	0.999628252304455	0.0925591272947652	0.965980473715304	0.10247181910652	0.958792280170929
3-Hydroxy-alpha-methyl-DL-tyrosine	-0.0270660562189373	0.996917039258528	0.160225167461962	0.886164784350965	0.187291223680899	0.851290413514131
Lexithromycin	0.153199789040985	0.842564385580765	-0.0667656088315834	0.971796294584334	-0.219965397872569	0.720049464342209
tris	-0.484117960174566	0.13635649893563	-0.43750012997902	0.173073630431243	0.0466178301955459	0.980922994185006
caramiphen	0.0218923215758351	0.998128086736725	0.443641293294372	0.410937870353942	0.421748971718537	0.438318321599132
Phenylethyl primeveroside	-0.308027118888453	0.578621208452226	-0.036313802051047	0.990009804425205	0.271713316837406	0.654524749638064
N-(5-chloro-2-methoxyphenyl)-2,4-dimethyl-5-oxazolecarboxamide	-0.294311053746926	0.646480530501533	-0.215492359796256	0.775283746714835	0.0788186939506707	0.971586374886544
Suberylglycine	-0.724645359790385	0.109234234300253	-0.71526603757905	0.112696655423778	0.0093793222113341	0.999670242713082
kynurenine	-0.586635344381997	0.157860774902017	-0.619723876029684	0.139402973714264	-0.0330885316476869	0.994773602963846
octopamine	0.0411015401021372	0.978661326938256	0.485623007484187	0.0749018869442678	0.44452146738205	0.0962770694397879
imidurea	-0.267336069705486	0.549388604947326	-0.356132268360658	0.389687740126487	-0.0887961986551721	0.944975903133789
4-Carboxyphenylglycine	-0.532141849837977	0.125678993224708	-0.412812089022192	0.222869072850144	0.119329760815784	0.895475514335693
N2,N2-Dimethylguanosine (incomplete stereochemisrty)	-0.110342487270845	0.949357338459569	0.375143123439959	0.473086150698932	0.485485610710804	0.334361603114294
N-hexadecanoylglycine	0.0570297976759785	0.985882245522308	0.317875511945785	0.613067258298061	0.260845714269807	0.704197331771679
LSM-32492	-0.376514013580068	0.523010369166195	-0.209387495845233	0.786022330139399	0.167126517734834	0.886422225964631
1-Palmitoyl-2-hydroxy-sn-glycero-3-PE	-0.558399594645104	0.0603351908391956	0.202601697375585	0.412197980161726	0.761001292020689	0.0122301924980677
(E)-2-(indol-3-yl)-1-thioacetohydroximic acid	0.00145859839113674	0.999992326942218	0.4174470423444	0.476227707024326	0.415988443953263	0.478112152512743
trans-Zeatin-O-glucoside riboside	-0.223857100267722	0.848759807571135	-0.250179107730409	0.818765827913794	-0.0263220074626872	0.998045574349401
(8E)-2-Amino-8-octadecene-1,3,4-triol	-0.0903841895497344	0.950237932659915	0.224626576863745	0.68961397148068	0.315010766413479	0.519710250293772
pantothenic acid	0.0393866020357471	0.993057015542302	-0.0418778087608476	0.992583168270556	-0.0812644107965949	0.971699054856285
quinolin-6-ol	-0.44435053932225	0.315135692326722	-0.543577409023887	0.219510433234626	-0.0992268697016375	0.95345609532756
(S)-5'-Deoxy-5'-(methylsulfinyl)adenosine	-0.69469692137164	0.123742918420436	-0.703647510120054	0.120086679919613	-0.00895058874841359	0.999695869099152
Enniatin-B2	0.013413463145637	0.999309418031673	0.438320312833573	0.423665385322261	0.424906849687936	0.440484401235807
11(Z),14(Z)-Eicosadienoic acid	0	1	0.61395754511874	0.0727957496100264	0.61395754511874	0.0727957496100263
Caryoptosidic acid	-0.157723544833813	0.892578216200285	-0.17045703094158	0.877052390624116	-0.0127334861077668	0.999329810756449
5-hydroxymethylfurfural	-0.0976417314332108	0.947673684306755	-0.191989499313485	0.826705089540836	-0.094347767880274	0.956953858482713
2-[[2-(3,5-dimethyl-1-pyrazolyl)-6,6-dimethyl-5,8-dihydropyrano[2,3]thieno[2,4-b]pyrimidin-4-yl]thio]-N-(2-thiazolyl)acetamide	0.548034508022529	0.337896974965028	0.528821677212802	0.364340633010387	-0.0192128308097264	0.997702907118601
L-cis-Cyclo(aspartylphenylalanyl)	-0.0951274185486854	0.959901056423668	-0.0104663842939631	0.999471307871474	0.0846610342547221	0.968287348368973
1-monopalmitoylglycerol	0.168081985181102	0.829955470776273	0.188758825483551	0.789415649400653	0.0206768403024484	0.996691249089847
N-Carboxyacetyl-D-phenylalanine	-0.337931924967507	0.43345605730082	-0.307118555947475	0.486976835731617	0.0308133690200315	0.993555350783407
L-N-(1H-Indol-3-ylacetyl)aspartic acid	-0.0373758488424281	0.994440235156715	0.0452260788652664	0.991397281617056	0.0826019277076948	0.972392025340134
octadecanamide	0.33611159565654	0.28959085359871	0.376268582110713	0.218888596167751	0.040156986454173	0.972088451006736
arginine	0.14536126056652	0.845202978973463	0.448123849776301	0.211899971464389	0.302762589209781	0.414489165275839
pipecolic acid	0.11710805470163	0.948336880410286	0.0733648982592859	0.979900583213766	-0.043743156442344	0.992186436455313
N-Acetyl-proline	0.00109294713809333	0.999988720665899	0.442126459131649	0.161522843636223	0.441033511993556	0.162454918449903
3'-Hydroxy-HT2 toxin	-0.137253126193414	0.870784997744287	-0.369510200301752	0.463874122808678	-0.232257074108337	0.741795279780181
N-undecanoylglycine	0.135995036914073	0.885746109500582	-0.293073034153228	0.670445485899316	-0.429068071067301	0.418927317974796
2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[[3,4,5-trihydroxy-6-[(3,4,5-trihydroxy-6-methyl-2-oxanyl)oxymethyl]-2-oxanyl]oxy]-1-benzopyran-4-one	0.306208690217141	0.756369652839036	0.443276787293266	0.543465142713776	0.137068097076125	0.924477684994854
kaempferol	-0.0952490095859482	0.973399091549142	-0.0644997468895465	0.987421579805785	0.0307492626964017	0.997306268377642
L-Glutathione (reduced)	0.415037499278844	0.484768226174448	0.074721510856718	0.979395488546018	-0.340315988422126	0.588939072143304
2,3-dihydroxybenzoic acid	-0.104700463689515	0.935381089181203	-0.131378490580198	0.902448730248923	-0.0266780268906832	0.996007074062949
salicyluric acid	-0.506276430577457	0.0963148079199774	0.1116864603731	0.77649963125254	0.617962890950557	0.0406368679855228
Quercetin 3-rutinoside 7-galactoside	-0.600128779898023	0.137441384395689	-0.580167758363703	0.14860698861511	0.019961021534321	0.997936235291923
alanyl-leucine	0.309075402716395	0.659582166762416	0.212965674167353	0.825457171446652	-0.0961097285490414	0.951674580301898
N-acetyl-3,5,11,18-tetrahydroxyoctadecyl-2-amine	0.254487488512182	0.724914454792151	0.032920614750729	0.995147152429125	-0.221566873761453	0.776971923148302
Pyrronamycin B	-0.257328779443363	0.720637032577451	-0.412548176817196	0.491647170826467	-0.155219397373832	0.911089499112341
syringic acid	-0.52950660784012	0.404268972847744	-0.25888467180113	0.749245075377666	0.27062193603899	0.801572441335021
Myxochlin C	-0.12296558791043	0.951194528798275	0.00425215441767545	0.999934129532299	0.127217742328105	0.947731811631606
Propionylcholine	0.251843424526629	0.763801883640503	0.41736888873868	0.465663797591059	0.165525464212051	0.85364135922749
glutamine	-0.213907447513879	0.76710291463214	-0.0748647983844089	0.963540903099201	0.13904264912947	0.896591434818287
N-(octadecanoyl)ethanolamine	-0.316179552570638	0.561532950887944	0.30868814296471	0.443373697379977	0.624867695535349	0.1189890029873
stearolic acid	0.2936081981158	0.653327268486077	0.0288683947476285	0.996334058386403	-0.264739803368172	0.699699789465818
linoelaidic acid	0.36286256197951	0.543037916619896	0.0201515605444972	0.998359045995016	-0.342711001435013	0.572808778017677
agmatine	0.340265376309827	0.663214761533428	0.294169531513882	0.738909169227178	-0.0460958447959445	0.990187599371285
atrazine	-0.0442930409302506	0.989276165749055	-0.280743845227582	0.706170106461953	-0.236450804297331	0.783891683278758
2-(Octylthio)ethanol	-0.37708845045816	0.471898193748898	-0.341386067325742	0.525969154734917	0.0357023831324184	0.994000583815477
2-{[3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol	-0.427304183389873	0.0722822269100608	-0.577390181492994	0.0274511068528581	-0.15008599810312	0.71973672525443
Ethyl 4-(methylthio)butyrate	-0.142690885183915	0.897470908732459	0.0556370969498264	0.981034149487381	0.198327982133742	0.807802030402336
Leucyl-leucine	0.401144355455012	0.489858461108989	0.113355258934544	0.949246714520087	-0.287789096520469	0.65882598650574
N-acetyldopamine	-0.11688646738723	0.941256876541434	0.124885286435158	0.921797698876933	0.241771753822389	0.7612906461156
phosphocholine	-0.552398162505465	0.144738092716447	-0.0606241131933222	0.955639866869918	0.491774049312143	0.208518833338553
indole-3-carboxylic acid	-0.0451977142102445	0.991236001768519	0.0195103149078532	0.998284013317624	0.0647080291180976	0.981905724050093
tryptophan	-0.124523977768876	0.947498213719548	-0.179899827524755	0.898165426121452	-0.0553758497558786	0.990562467361364
3-hydroxykynurenine	-0.572649378152481	0.17264363074296	-0.599192764779824	0.156320451302319	-0.0265433866273433	0.99664331554825
[3-carboxy-2-(1-oxohexadecoxy)propyl]-trimethylammonium	-0.110274512867962	0.936917952667542	0.381937314798972	0.387962414900201	0.492211827666934	0.257219193854347
Vanillic acid glucoside	-0.168643885750524	0.898589276310837	-0.104891541592093	0.95726259469848	0.0637523441584309	0.985680137886665
3-(indol-3-yl)lactic acid	-0.115390475050998	0.95284233974361	-0.166612268854802	0.908055208597421	-0.0512217938038035	0.991501417166832
9,10-epoxy-12-octadecenoic acid	0.29514615174224	0.645117512265206	0.00893864333860114	0.99964559734227	-0.286207508403639	0.659512325271726
Lupeoside	-0.322969299404163	0.466354952419814	-0.423519190577029	0.317977708073548	-0.100549891172866	0.939809596532661
choline hydrogen sulfate	0.00552238915570773	0.999882724053928	-0.336607449992951	0.721545297169265	-0.342129839148659	0.713320231408255
benzoxonium chloride	0.417496285427741	0.475750357568059	0.0785586118877592	0.976851356402769	-0.338937673539982	0.585639986138166
1-cyano-8-(methylsulfinyl)heptane	0.392598004860986	0.521412226135243	0.359295332418392	0.581165755272933	-0.0333026724425935	0.993338050822555
palmitoyl ethanolamide	0.0652914372973052	0.976130187286378	0.129071783148738	0.907110355303186	0.0637803458514331	0.975108182177672
N-(docosanoyl)ethanolamine	-0.0197421748942807	0.997678772660049	0.329961822714821	0.481158093417715	0.349703997609102	0.448860673673381
N-myristoylglycine	0.0380677025839676	0.991816385597849	0.201302134851266	0.780918235115285	0.163234432267298	0.844397762829414
methionine S-oxide	0.0232886823090198	0.995874079869231	0.737576046689437	0.0279187793276202	0.714287364380417	0.0309204700365033
2-oxo-1,2-dihydroquinoline-4-carboxylic acid	-0.477685278544698	0.295338465702475	-0.3603343162467	0.446000955388604	0.117350962297998	0.932717035407202
N,N,N-Trimethyllysine	0.17441483671191	0.879127986598062	0.0313590186158903	0.996158544366243	-0.14305581809602	0.914715246816752
margaroylglycine	-0.0224919437848699	0.996660282714681	-0.126172385476761	0.908034482448612	-0.103680441691891	0.937557657582401
11-octadecynoic acid	-0.0767732603247644	0.930024048056134	0.459926507940834	0.0849461055373066	0.536699768265599	0.0537568669828097
2-amino-4-({1-[(carboxymethyl)-C-hydroxycarbonimidoyl]-2-[(3-oxo-1-phenylpropyl)sulfanyl]ethyl}-C-hydroxycarbonimidoyl)butanoic acid	-0.237375108052405	0.721003181163503	-0.146564352140153	0.871912127734456	0.0908107559122522	0.955687299231123
2-O-alpha-D-Galactopyranosyl-1-deoxynojirimycin	-0.352442625999447	0.555246364744985	-0.269354154166184	0.685932372552822	0.0830884718332633	0.97067801456366
hexahomomethionine	0.340429073677847	0.650356797746226	0.563980983965361	0.298247050409828	0.223551910287513	0.755198089135679
SPB 16:1;2O	0.217101636631989	0.758799745263612	0.575373490476795	0.152241102710551	0.358271853844806	0.371376872285428
trans-10-heptadecenoic acid	0.322462681538374	0.601587487413777	0.0182259226974875	0.998571227120215	-0.304236758840886	0.630240103578487
N-(indole-3-acetyl)valine	0.415439571337946	0.623054232146723	0.337700657314635	0.737587531821992	-0.0777389140233107	0.977761789615541
6-Deoxohomodolichosterone	0.0911218852273684	0.959391511507722	0.0306452854008452	0.995486510976507	-0.060476599826523	0.981451854894315
3-(3,4-dimethoxyphenyl)prop-2-enoic acid	0.114646498906383	0.950017281897856	0.332076631306297	0.626801135366649	0.217430132399914	0.798052406117749
9,12-Octadecadienal	-0.391663096431352	0.384225272530195	0.197636218331449	0.66875670742876	0.589299314762801	0.128933752408498
salicylic acid	-0.413094224368762	0.248022981100681	-0.432759382290935	0.226402707812444	-0.0196651579221728	0.997030089591252
1-hydroxy-7-(hydroxymethyl)-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-4-carboxylic acid methyl ester	-0.00476082042028639	0.999886807894196	-0.11467073106106	0.941519395412873	-0.109909910640774	0.946273505082026
N-Acetyl-ornithine	0.24632921314924	0.769474644709913	0.517327240974098	0.303488813407696	0.270998027824858	0.643852237375797
4,4'-Thiobis-2-butanone	0.00678083926554427	0.999818599602903	0.443990833503374	0.404239677434682	0.43720999423783	0.412538170795997
[6-[3,4-Dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methyl 3-(4-hydroxy-3,5-dimethoxyphenyl)prop-2-enoate	0.385126683378605	0.57812074479201	0.17179455759114	0.903772491394593	-0.213332125787465	0.818387453855093
Pentacosanoylglycine	0.0576486958413905	0.98269433468208	0.367537281841674	0.460858447669479	0.309888586000284	0.553690863165079
9,10-dihydroxyoctadecanoic acid	0.177111817900358	0.869689652006167	0.146485195498609	0.910100937021684	-0.0306266224017491	0.995287152068361
hydroxytyrosol	0.280699362435357	0.699229403473373	0.646494659059855	0.152166719277791	0.365795296624498	0.41864681263644
2-amino-4-({1-[(carboxymethyl)-C-hydroxycarbonimidoyl]-2-[(1-hydroxy-3-oxo-1-phenylpropan-2-yl)sulfanyl]ethyl}-C-hydroxycarbonimidoyl)butanoic acid	0	1	0.415037499278844	0.482727279503212	0.415037499278844	0.482727279503212
hexopyranose	-0.0462171340543651	0.988698772291525	-0.138130426780144	0.91030532627984	-0.0919132927257793	0.960163108767007
(Z)-9-Cycloheptadecen-1-one	0.303476440191096	0.507224780270374	-0.213842945008143	0.776279623887609	-0.517319385199239	0.227159662447852
4-coumaric acid	0.314152854308859	0.662951487121546	0.658198582320023	0.164426422677537	0.344045728011164	0.479310943030555
p-Mentha-1,3,5,8-tetraene	-0.343646204719003	0.544807861639222	-0.293134958366074	0.626023768044617	0.0505112463529286	0.988246276840979
1-Oleoylglycerophosphoserine	-0.395371718505058	0.515217954811399	-0.288285316649187	0.672481662423225	0.10708640185587	0.95683603825359
5,7alpha-Dihydro-1,4,4,7a-tetramethyl-4H-indene	0.161149347917306	0.857319783184549	-0.0372075602483176	0.992698451197778	-0.198356908165624	0.798792070678676
N-malonyltryptophan	-0.130764800203199	0.929533310862343	-0.0226909065908649	0.997604027013448	0.108073893612334	0.951871837911819
N,N-bis(2-hydroxyethyl)dodecanamide	-0.282031365981062	0.487501932172852	0.00797139193084648	0.999207506768009	0.290002757911908	0.468330741908531
AB-74	-0.288990089844434	0.475728490286365	-0.290375158320853	0.473030698902173	-0.00138506847641883	0.999984167189888
Spongouridin	0.378570333409858	0.592524529418073	0.18825303951686	0.88591872918149	-0.190317293892998	0.85224702705369
histidine	-0.135109796104266	0.881922497496709	0.187599416911001	0.744951835371141	0.322709213015268	0.478940154155668
5,7-dihydroxy-2-(4-hydroxyphenyl)-4-oxo-4H-1-benzopyran-3-yl 6-O-(6-deoxyhexopyranosyl)hexopyranoside	-0.054794075725899	0.988853050882573	-0.1353980704806	0.93783751635103	-0.0806039947547015	0.978195391570762
9H-xanthine	-0.0625822613103008	0.944048653216713	0.674443093086279	0.00916912355648403	0.73702535439658	0.00658982692777865
caffeic acid	0.388516077076026	0.525648840494808	0.608681122427728	0.208110411179673	0.220165045351702	0.718012862223948
suberic acid	-0.48965534189769	0.224592010591856	-0.326248394775123	0.4350561154982	0.163406947122566	0.846540788885694
Avocadyne 4-acetate	-0.677314889145346	0.000464136252453451	-0.834551829194438	0.000190722131796495	-0.157236940049092	0.40009014490087
1-(2-Hydroxyphenylamino)-1-deoxy-beta-D-gentiobioside 1,2-carbamate	-0.429124994079507	0.389627522459716	-0.430254103560741	0.388210002698486	-0.00112910948123366	0.999994329046771
1,8,15,22-Tetraazacyclooctacosane-2,9,16,23-tetrone	0	1	0.415037499278844	0.482727279503212	0.415037499278844	0.482727279503212
Methyl 4-(diaminomethylideneamino)butanoate	-0.664442703947633	0.0112033728108856	-0.518452086997616	0.0272444628997005	0.145990616950018	0.719337291213912
9-(methylsulfinyl)nonamide	0.0783498727583994	0.97085722614383	0.405703655886076	0.421035036945269	0.327353783127677	0.538135248032795
gamma-Hydroxy-3-pyridinebutanoate	0.0529806375099999	0.989607804093697	0.389393780336931	0.526196926580735	0.336413142826931	0.601551201721754
Lucuminamide	0.125647737392407	0.941753478255036	0.411816286453457	0.493360734758402	0.28616854906105	0.675706483634203
1-(4-chlorophenyl)-4,4-dimethyl-3-(1H-1,2,4-triazol-1-ylmethyl)pentan-3-ol	-0.172723208252276	0.838354229857176	-0.235682237672769	0.735282015487217	-0.0629590294204933	0.979790354413018
cinnamic acid	0.154063138948449	0.874207531852396	0.236302856668166	0.722969210547613	0.0822397177197171	0.955243220200497
8-(methylsulfinyl)octyl isothiocyanate	0.365756189235298	0.570454958758511	0.336270665790005	0.623852918633983	-0.029485523445293	0.99496645989145
sinapyl alcohol	0.238316605279881	0.797530585774263	0.232718283643509	0.806314646514565	-0.00559832163637178	0.999847822676829
N-acetylputrescine	0.365736745273049	0.635929041417657	0.352060582041122	0.658451428021638	-0.0136761632319271	0.999131289050881
2-hydroxy-4-(methylthio)butanoic acid	0.294027922471207	0.645162819233588	0.34386689263396	0.546894355184635	0.0498389701627536	0.983011776473334
octadec-17-ynoic acid	0.26682216897453	0.657230310613939	0.244598642380178	0.703746701810293	-0.0222235265943518	0.996309710325046
1,3-Cyclohexanedicarboxylic acid	-0.535830672331973	0.175335493944443	-0.495751633810973	0.206618394041531	0.0400790385210001	0.990740287166076
juglone	-0.221586338643191	0.830911569876846	-0.0379880889489413	0.993655729102088	0.18359824969425	0.882428039060718
Cycloate	0.269440978947218	0.761992807703212	0.457520340567928	0.442257698409362	0.18807936162071	0.831624278095517
N-(tetradecanoyl)ethanolamine	-0.0263849841502235	0.996047392831922	0.0679204237876952	0.972479641792266	0.094305407937919	0.948751148226826
3,3'-diindolylmethane	0.153979589100445	0.918203991232001	0.422992033329803	0.496005657795219	0.269012444229357	0.715290889166314
N-acetyltryptophan	0.085395013479957	0.969733013138765	0.389381587141583	0.4939392655506	0.303986573661626	0.622532698384618
2-Amino-1,3,4-octadecanetriol	-0.124976912000807	0.844581127801984	0.441360734263882	0.112720811064263	0.56633764626469	0.0554971171430877
Goshonoside F6	0.481331665572707	0.329215857783711	0.0610780331621575	0.98406462090619	-0.42025363241055	0.401129501469885
N-methylnicotinic acid	-0.0815912201109169	0.96719691456782	-0.083641241605074	0.965614009615783	-0.00205002149415722	0.999980021769212
bosutinib	-0.406343591080489	0.403335132782278	-0.460668743970082	0.3362663607639	-0.0543251528895929	0.986389207390983
isoacetovanillone	0.0664634901469071	0.985231327225284	0.0738320505277097	0.981724767406004	0.00736856038080275	0.999807082684578
[(5-oxo-1,7-diphenylheptan-2-yl)oxy]sulfonic acid	-0.200327046853816	0.811934376460795	-0.352024021199441	0.578313550892434	-0.151696974345625	0.909028416239684
simetryn	0.366173695083379	0.570745182103401	0.337391518127823	0.622796361805376	-0.0287821769555559	0.995214979006893
3,4-Methylenesebacic acid	0.252360374442723	0.723754497484415	0.0547623882521944	0.986125827181631	-0.197597986190529	0.810765984512283
HDMBOA-Glc	-0.407810531601727	0.399320032670289	-0.504797761266454	0.288101948111391	-0.0969872296647268	0.958487543577179
5-Methoxytryptophol	0.101830237367924	0.962967815073747	0.415037499278844	0.497316078654601	0.31320726191092	0.640785368268301
Leucyl-Valine	0.38631385020616	0.539512334627849	0.151840360161705	0.91538443301889	-0.234473490044455	0.765298697243889
Glutaminyl-Phenylalanine	-0.117996322375503	0.905465698478818	0.136237035176945	0.855240528880298	0.254233357552448	0.621552820248476
