#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
434	spectra_filtered.mgf	*..*		:134	674	-1	0	184.073	1	0.997799	0	0	3739500.0	5553000.0	Spectral Match to Phosphocholine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf434	-1	GNPS-NIST14-MATCHES.mgf	2.15528				7	0	0.000396729	184.073	0	CCMSLIB00003135160
1751	spectra_filtered.mgf	*..*		:611	1057	-1	0	146.092	1	0.997682	0	0	131822000.0	4518000.0	4-Guanidinobutyric acid CollisionEnergy:102040 M+H	BERKELEY-LAB	temp/spectra_filtered.mgf1751	-1	BERKELEY-LAB.mgf	2.82005				8	0	0.000411987	146.092	0	CCMSLIB00010103045
4401	spectra_filtered.mgf	*..*		:611	1057	-1	0	146.092	1	0.997682	0	0	131822000.0	4518000.0	4-Guanidinobutyric acid CollisionEnergy:102040 M+H	BERKELEY-LAB	temp/spectra_filtered.mgf4401	-1	BERKELEY-LAB.mgf	73.217				8	0	0.0106964	146.081	0	CCMSLIB00010103045
4105	spectra_filtered.mgf	*..*		:611	1057	-1	0	146.092	1	0.997682	0	0	131822000.0	4518000.0	4-Guanidinobutyric acid CollisionEnergy:102040 M+H	BERKELEY-LAB	temp/spectra_filtered.mgf4105	-1	BERKELEY-LAB.mgf	2.82005				8	0	0.000411987	146.092	0	CCMSLIB00010103045
3578	spectra_filtered.mgf	*..*		:577	1782	-1	0	205.097	1	0.997508	0	0	5497430.0	8182000.0	Spectral Match to L-Tryptophan from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf3578	-1	GNPS-NIST14-MATCHES.mgf	1.48796				8	0	0.000305176	205.097	0	CCMSLIB00003136269
4412	spectra_filtered.mgf	*..*		:9	1255	-1	0	182.081	1	0.997256	0	0	251.999	3365000.0	L-tyrosine [M+H]+	CMMC-LIBRARY	temp/spectra_filtered.mgf4412	-1	CMMC-LIBRARY.mgf	0.586615				7	0	0.000106812	182.081	0	CCMSLIB00012472269
1312	spectra_filtered.mgf	*..*		:80	224	-1	0	150.058	1	0.997019	0	0	14302300.0	13480000.0	Spectral Match to L-Methionine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf1312	-1	GNPS-NIST14-MATCHES.mgf	4.67755				7	0	0.000701904	150.059	0	CCMSLIB00003134710
10	spectra_filtered.mgf	*..*		:148	2887	-1	0	137.046	1	0.996864	0	0	1447730.0	399300.0	Spectral Match to Hypoxanthine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf10	-1	GNPS-NIST14-MATCHES.mgf	1.44743				7	0	0.000198364	137.046	0	CCMSLIB00003137374
3380	spectra_filtered.mgf	*..*		:154	3126	-1	0	182.081	1	0.996713	0	0	51351600.0	51990000.0	Spectral Match to L-Tyrosine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf3380	-1	GNPS-NIST14-MATCHES.mgf	1.17323				7	0	0.000213623	182.081	0	CCMSLIB00003137613
1262	spectra_filtered.mgf	*..*		:118	3331	-1	0	148.04	1	0.996534	0	0	16374900.0	1357400.0	Glutamic acid M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf1262	-1	GNPS-LIBRARY.mgf	137.189				6	0	0.0203094	148.06	0	CCMSLIB00003740029
2168	spectra_filtered.mgf	*..*		:471	4681	-1	0	188.07	1	0.996137	0	0	10238500.0	7152800.0	Spectral Match to Abrine from NIST14 M+H-CH3NH2	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf2168	-1	GNPS-NIST14-MATCHES.mgf	3.16421				8	0	0.000595093	188.071	0	CCMSLIB00003139168
613	spectra_filtered.mgf	*..*		:1708	179	-1	0	195.065	1	0.996115	0	0	17421400.0	2363500.0	Ferulic acid M+H	TUEBINGEN-NATURAL-PRODUCT-COLLECTION	temp/spectra_filtered.mgf613	-1	TUEBINGEN-NATURAL-PRODUCT-COLLECTION.mgf	0.469345				8	0	9.15527e-05	195.065	0	CCMSLIB00011906145
3282	spectra_filtered.mgf	*..*		:84	672	-1	0	166.086	1	0.995891	0	0	112.567	4771000.0	Phenylalanine [M+H]+	CMMC-LIBRARY	temp/spectra_filtered.mgf3282	-1	CMMC-LIBRARY.mgf	1.83746				6	0	0.000305176	166.086	0	CCMSLIB00012471686
960	spectra_filtered.mgf	*..*		:84	672	-1	0	166.086	1	0.995891	0	0	112.567	4771000.0	Phenylalanine [M+H]+	CMMC-LIBRARY	temp/spectra_filtered.mgf960	-1	CMMC-LIBRARY.mgf	1.83746				6	0	0.000305176	166.086	0	CCMSLIB00012471686
4135	spectra_filtered.mgf	*..*		:471	4681	-1	0	188.07	1	0.995828	0	0	10238500.0	868500.0	Spectral Match to Abrine from NIST14 M+H-CH3NH2	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf4135	-1	GNPS-NIST14-MATCHES.mgf	3.16421				8	0	0.000595093	188.071	0	CCMSLIB00003139168
3043	spectra_filtered.mgf	*..*		:1145	50385	-1	0	184.074	1	0.994224	0	0	99.2	663600.0	PHOSPHOCHOLINE M	MONA	temp/spectra_filtered.mgf3043	-1	MONA.mgf	6.54869				6	0	0.00120544	184.073	0	CCMSLIB00006679415
3553	spectra_filtered.mgf	*..*		:1	893	-1	0	154.086	1	0.994033	0	0	131.798	2835900.0	Dopamine [M+H]+	CMMC-LIBRARY	temp/spectra_filtered.mgf3553	-1	CMMC-LIBRARY.mgf	1.98056				7	0	0.000305176	154.086	0	CCMSLIB00012471907
543	spectra_filtered.mgf	*..*		:134	3783	-1	0	175.119	1	0.993946	0	0	19825300.0	701000.0	Spectral Match to L-Arginine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf543	-1	GNPS-NIST14-MATCHES.mgf	0.522803				8	0	9.15527e-05	175.119	0	CCMSLIB00003138270
2356	spectra_filtered.mgf	*..*		:916	50156	-1	0	166.086	1	0.993436	0	0	108.7	4651000.0	PHENYLALANINE M+H	MONA	temp/spectra_filtered.mgf2356	-1	MONA.mgf	68.629				6	0	0.0113983	166.075	0	CCMSLIB00006679186
782	spectra_filtered.mgf	*..*		:1708	179	-1	0	195.065	1	0.993261	0	0	17421400.0	2184900.0	Ferulic acid M+H	TUEBINGEN-NATURAL-PRODUCT-COLLECTION	temp/spectra_filtered.mgf782	-1	TUEBINGEN-NATURAL-PRODUCT-COLLECTION.mgf	1.01691				6	0	0.000198364	195.065	0	CCMSLIB00011906145
3231	spectra_filtered.mgf	*..*		:153	3643	-1	0	165.051	1	0.993204	0	0	2051810.0	1040000.0	Spectral Match to L-Tyrosine from NIST14 M+H-NH3	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf3231	-1	GNPS-NIST14-MATCHES.mgf	20.6161				6	0	0.00340271	165.054	0	CCMSLIB00003138130
2469	spectra_filtered.mgf	*..*		:134	3783	-1	0	175.119	1	0.991898	0	0	19825300.0	2068000.0	Spectral Match to L-Arginine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf2469	-1	GNPS-NIST14-MATCHES.mgf	64.5662				8	0	0.0113068	175.108	0	CCMSLIB00003138270
989	spectra_filtered.mgf	*..*		:1410	50650	-1	0	199.06	1	0.991877	0	0	163.8	5719000.0	SYRINGIC ACID M+H	MONA	temp/spectra_filtered.mgf989	-1	MONA.mgf	0.0				9	0	0.0	199.06	0	CCMSLIB00006679680
2430	spectra_filtered.mgf	*..*		:1145	50385	-1	0	184.074	1	0.991316	0	0	99.2	1055300.0	PHOSPHOCHOLINE M	MONA	temp/spectra_filtered.mgf2430	-1	MONA.mgf	4.39343				6	0	0.000808716	184.073	0	CCMSLIB00006679415
2073	spectra_filtered.mgf	*..*		:1	5685	-1	0	205.097	1	0.989443	0	0	1198300000.0	1136500.0	L-Tryptophan M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf2073	-1	GNPS-LIBRARY.mgf	0.967173				8	0	0.000198364	205.097	0	CCMSLIB00005716772
749	spectra_filtered.mgf	*..*		:3564	4058	-1	0	307.263	1	0.988862	0	0	1537290.0	342900.0	Spectral Match to 15-HEDE from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf749	-1	GNPS-NIST14-MATCHES.mgf	0.297962				9	0	9.15527e-05	307.263	0	CCMSLIB00003138545
261	spectra_filtered.mgf	*..*		:1425	2069	-1	0	188.07	1	0.987577	0	0	1805120.0	1339700.0	Spectral Match to DL-Indole-3-lactic acid from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf261	-1	GNPS-NIST14-MATCHES.mgf	3.65101				9	0	0.000686646	188.071	0	CCMSLIB00003136556
1522	spectra_filtered.mgf	*..*		:134	674	-1	0	184.073	1	0.986995	0	0	3739500.0	399900.0	Spectral Match to Phosphocholine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf1522	-1	GNPS-NIST14-MATCHES.mgf	1.07764				6	0	0.000198364	184.073	0	CCMSLIB00003135160
1910	spectra_filtered.mgf	*..*		:997	36	-1	0	180.102	1	0.985916	0	0	93789200.0	400300.0	N-Acetyl-tyramine M+H	TUEBINGEN-NATURAL-PRODUCT-COLLECTION	temp/spectra_filtered.mgf1910	-1	TUEBINGEN-NATURAL-PRODUCT-COLLECTION.mgf	1.69446				6	0	0.000305176	180.102	0	CCMSLIB00011906001
3692	spectra_filtered.mgf	*..*		:159	5402	-1	0	204.086	1	0.985803	0	0	31435000.0	803000.0	Spectral Match to N-Acetyl-D-glucosamine from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf3692	-1	GNPS-NIST14-MATCHES.mgf	3.96262				9	0	0.000808716	204.087	0	CCMSLIB00003139889
307	spectra_filtered.mgf	*..*		:38	692	-1	0	308.091	1	0.985452	0	0	2982180.0	833900.0	GLUTATHIONE REDUCED M+H	GNPS-MSMLS	temp/spectra_filtered.mgf307	-1	GNPS-MSMLS.mgf	0.0				16	0	0.0	308.091	0	CCMSLIB00005464443
546	spectra_filtered.mgf	*..*		:29733	41731	-1	0	138.055	1	0.984838	0	0	2116090.0	2279000.0	Massbank: N-methylnicotinate|1-methylpyridin-1-ium-3-carboxylate M+H	MASSBANK	temp/spectra_filtered.mgf546	-1	MASSBANK.mgf	63.6635				6	0	0.00878906	138.046	0	CCMSLIB00005755284
1634	spectra_filtered.mgf	*..*		:29733	41731	-1	0	138.055	1	0.984838	0	0	2116090.0	2279000.0	Massbank: N-methylnicotinate|1-methylpyridin-1-ium-3-carboxylate M+H	MASSBANK	temp/spectra_filtered.mgf1634	-1	MASSBANK.mgf	63.1109				6	0	0.00871277	138.064	0	CCMSLIB00005755284
3028	spectra_filtered.mgf	*..*		:29733	41731	-1	0	138.055	1	0.984838	0	0	2116090.0	2279000.0	Massbank: N-methylnicotinate|1-methylpyridin-1-ium-3-carboxylate M+H	MASSBANK	temp/spectra_filtered.mgf3028	-1	MASSBANK.mgf	81.1267				6	0	0.0112	138.044	0	CCMSLIB00005755284
211	spectra_filtered.mgf	*..*		:2963	3409	-1	0	400.342	1	0.984833	0	0	5789620.0	1112300.0	palmitoyl carnitine CollisionEnergy:102040 M	BERKELEY-LAB	temp/spectra_filtered.mgf211	-1	BERKELEY-LAB.mgf	0.533601				9	0	0.000213623	400.342	0	CCMSLIB00010105397
2431	spectra_filtered.mgf	*..*		:6239	6239	-1	0	131.129	1	0.984586	0	0	201023000.0	19298000.0	agmatine - 40.0 eV M+H	BIRMINGHAM-UHPLC-MS-POS	temp/spectra_filtered.mgf2431	-1	BIRMINGHAM-UHPLC-MS-POS.mgf	64.8151				6	0	0.00849915	131.137	0	CCMSLIB00006123237
1870	spectra_filtered.mgf	*..*		:1666	50906	-1	0	298.097	1	0.98438	0	0	109.2	356000.0	5'-METHYLTHIOADENOSINE M+H	MONA	temp/spectra_filtered.mgf1870	-1	MONA.mgf	16.3799				6	0	0.00488281	298.092	0	CCMSLIB00006679936
2916	spectra_filtered.mgf	*..*		:1641	50881	-1	0	247.108	1	0.98429	0	0	377.4	781200.0	N-ACETYLTRYPTOPHAN M+H	MONA	temp/spectra_filtered.mgf2916	-1	MONA.mgf	1.60549				10	0	0.000396729	247.108	0	CCMSLIB00006679911
2007	spectra_filtered.mgf	*..*		:1353	9648	-1	0	146.092	1	0.98382	0	0	6729570.0	902000.0	4-GUANIDINOBUTANOATE - 50.0 eV M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf2007	-1	GNPS-LIBRARY.mgf	2.08893				6	0	0.000305176	146.092	0	CCMSLIB00005884506
660	spectra_filtered.mgf	*..*		:27	666	-1	0	177.054	1	0.983725	0	0	3556070.0	3269400.0	FERULATE M-H2O+H	GNPS-MSMLS	temp/spectra_filtered.mgf660	-1	GNPS-MSMLS.mgf	2.84399				7	0	0.00050354	177.055	0	CCMSLIB00005464417
2000	spectra_filtered.mgf	*..*		:1916	238	-1	0	220.12	1	0.982723	0	0	6583920.0	2310000.0	D-PANTOTHENIC ACID M+H	GNPS-EMBL-MCF	temp/spectra_filtered.mgf2000	-1	GNPS-EMBL-MCF.mgf	9.49688				12	0	0.00209045	220.118	0	CCMSLIB00000578020
2177	spectra_filtered.mgf	*..*		:6239	6239	-1	0	131.129	1	0.98257	0	0	201023000.0	29158000.0	agmatine - 40.0 eV M+H	BIRMINGHAM-UHPLC-MS-POS	temp/spectra_filtered.mgf2177	-1	BIRMINGHAM-UHPLC-MS-POS.mgf	59.4624				6	0	0.00779724	131.121	0	CCMSLIB00006123237
3974	spectra_filtered.mgf	*..*		:6239	6239	-1	0	131.129	1	0.98257	0	0	201023000.0	29158000.0	agmatine - 40.0 eV M+H	BIRMINGHAM-UHPLC-MS-POS	temp/spectra_filtered.mgf3974	-1	BIRMINGHAM-UHPLC-MS-POS.mgf	80.0589				6	0	0.010498	131.139	0	CCMSLIB00006123237
3118	spectra_filtered.mgf	*..*		:6239	6239	-1	0	131.129	1	0.98257	0	0	201023000.0	29158000.0	agmatine - 40.0 eV M+H	BIRMINGHAM-UHPLC-MS-POS	temp/spectra_filtered.mgf3118	-1	BIRMINGHAM-UHPLC-MS-POS.mgf	76.2189				6	0	0.00999451	131.119	0	CCMSLIB00006123237
3320	spectra_filtered.mgf	*..*		:6239	6239	-1	0	131.129	1	0.98257	0	0	201023000.0	29158000.0	agmatine - 40.0 eV M+H	BIRMINGHAM-UHPLC-MS-POS	temp/spectra_filtered.mgf3320	-1	BIRMINGHAM-UHPLC-MS-POS.mgf	2.32729				6	0	0.000305176	131.129	0	CCMSLIB00006123237
1463	spectra_filtered.mgf	*..*		:9146	9592	-1	0	177.055	1	0.98241	0	0	45811500.0	3881300.0	ferulic acid CollisionEnergy:102040 M+H-H2O	BERKELEY-LAB	temp/spectra_filtered.mgf1463	-1	BERKELEY-LAB.mgf	2.75779				7	0	0.000488281	177.055	0	CCMSLIB00010111580
1255	spectra_filtered.mgf	*..*		:27	666	-1	0	177.054	1	0.981588	0	0	3556070.0	1045100.0	FERULATE M-H2O+H	GNPS-MSMLS	temp/spectra_filtered.mgf1255	-1	GNPS-MSMLS.mgf	2.84399				7	0	0.00050354	177.055	0	CCMSLIB00005464417
3335	spectra_filtered.mgf	*..*		:4719	5011	-1	0	284.3	1	0.981422	0	0	6162870.0	905800.0	Spectral Match to Octadecanamide from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf3335	-1	GNPS-NIST14-MATCHES.mgf	18.2483				11	0	0.00518799	284.295	0	CCMSLIB00003139498
1562	spectra_filtered.mgf	*..*		:971	50211	-1	0	258.11	1	0.980928	0	0	130.4	3114200.0	SN-GLYCERO-3-PHOSPHOCHOLINE M+H	MONA	temp/spectra_filtered.mgf1562	-1	MONA.mgf	1.53705				6	0	0.000396729	258.11	0	CCMSLIB00006679241
2457	spectra_filtered.mgf	*..*		:3724	3243	-1	0	415.214	1	0.980698	0	0	118.51	1780700.0	Zoloperone [M+NH4]+	CMMC-REFRAME-POSITIVE-LIBRARY	temp/spectra_filtered.mgf2457	-1	CMMC-REFRAME-POSITIVE-LIBRARY.mgf	6.24737				6	0	0.00259399	415.211	0	CCMSLIB00012250200
3527	spectra_filtered.mgf	*..*		:3888	2008	-1	0	237.221	1	0.980345	0	0	12114000.0	404000.0	Spectral Match to Palmitelaidic acid from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf3527	-1	GNPS-NIST14-MATCHES.mgf	2.95886				11	0	0.000701904	237.222	0	CCMSLIB00003136495
242	spectra_filtered.mgf	*..*		:8497	8943	-1	0	191.07	1	0.980148	0	0	4349230.0	204100.0	3,4-DIMETHOXYCINNAMIC ACID CollisionEnergy:102040 M+H-H2O	BERKELEY-LAB	temp/spectra_filtered.mgf242	-1	BERKELEY-LAB.mgf	1.03818				8	0	0.000198364	191.07	0	CCMSLIB00010110931
1864	spectra_filtered.mgf	*..*		:4199	3664	-1	0	342.265	1	0.97957	0	0	143.065	449700.0	22083-74-5 [2M+NH4]+	CMMC-REFRAME-POSITIVE-LIBRARY	temp/spectra_filtered.mgf1864	-1	CMMC-REFRAME-POSITIVE-LIBRARY.mgf	3.83403				6	0	0.00131226	342.264	0	CCMSLIB00012250621
1665	spectra_filtered.mgf	*..*		:1	11113	-1	0	138.055	1	0.978412	0	0	25597600.0	746000.0	Trigonelline M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf1665	-1	GNPS-LIBRARY.mgf	81.1267				6	0	0.0112	138.044	0	CCMSLIB00006717990
2268	spectra_filtered.mgf	*..*		:1	12148	-1	0	166.054	1	0.978363	0	0	4525040.0	2181000.0	L-methionine sulfoxide M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf2268	-1	GNPS-LIBRARY.mgf	4.22696				7	0	0.000701904	166.053	0	CCMSLIB00010013002
3006	spectra_filtered.mgf	*..*		:210	3769	-1	0	197.117	1	0.977909	0	0	7319520.0	620000.0	Loliolide M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf3006	-1	GNPS-LIBRARY.mgf	1.00633				7	0	0.000198364	197.117	0	CCMSLIB00004680136
2496	spectra_filtered.mgf	*..*		:1755	50995	-1	0	360.15	1	0.97771	0	0	361.4	5247000.0	SUCROSE M+NH4	MONA	temp/spectra_filtered.mgf2496	-1	MONA.mgf	0.59315				11	0	0.000213623	360.15	0	CCMSLIB00006680025
2128	spectra_filtered.mgf	*..*		:11878	12324	-1	0	169.05	1	0.977644	0	0	3305890.0	2179000.0	Vanillic acid CollisionEnergy:102040 M+H	BERKELEY-LAB	temp/spectra_filtered.mgf2128	-1	BERKELEY-LAB.mgf	2.97865				7	0	0.00050354	169.049	0	CCMSLIB00010114312
250	spectra_filtered.mgf	*..*		:3166	2758	-1	0	180.087	1	0.976868	0	0	251.297	1285000.0	D-Lyxo-Hex-2-ulo-Pyranose [M-H2O+NH4]+	CMMC-REFRAME-POSITIVE-LIBRARY	temp/spectra_filtered.mgf250	-1	CMMC-REFRAME-POSITIVE-LIBRARY.mgf	1.6946				7	0	0.000305176	180.087	0	CCMSLIB00012249715
1580	spectra_filtered.mgf	*..*		:6738	5886	-1	0	311.186	1	0.976511	0	0	286.512	533900.0	Guancydine [2M-2H2O+K]+	CMMC-REFRAME-POSITIVE-LIBRARY	temp/spectra_filtered.mgf1580	-1	CMMC-REFRAME-POSITIVE-LIBRARY.mgf	3.23626				12	0	0.00100708	311.185	0	CCMSLIB00012252843
4403	spectra_filtered.mgf	*..*		:1755	50995	-1	0	360.15	1	0.976365	0	0	361.4	402200.0	SUCROSE M+NH4	MONA	temp/spectra_filtered.mgf4403	-1	MONA.mgf	0.254207				10	0	9.15527e-05	360.15	0	CCMSLIB00006680025
617	spectra_filtered.mgf	*..*		:2948	1745	-1	0	277.216	1	0.974348	0	0	693389.0	333000.0	Spectral Match to 13-Keto-9Z,11E-octadecadienoic acid from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf617	-1	GNPS-NIST14-MATCHES.mgf	0.0				10	0	0.0	277.216	0	CCMSLIB00003136232
1304	spectra_filtered.mgf	*..*		:10714	11160	-1	0	465.103	1	0.973972	0	0	5879350.0	2676000.0	CCG-208508 CollisionEnergy:102040 M+H	BERKELEY-LAB	temp/spectra_filtered.mgf1304	-1	BERKELEY-LAB.mgf	0.852991				15	0	0.000396729	465.103	0	CCMSLIB00010113148
3175	spectra_filtered.mgf	*..*		:1	12023	-1	0	611.161	1	0.973171	0	0	616672.0	7421700.0	Rutin M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf3175	-1	GNPS-LIBRARY.mgf	0.998676				11	0	0.000610352	611.16	0	CCMSLIB00010012048
1064	spectra_filtered.mgf	*..*		:1357	50597	-1	0	146.092	1	0.973043	0	0	211.0	383500.0	4-GUANIDINOBUTANOIC ACID M+H	MONA	temp/spectra_filtered.mgf1064	-1	MONA.mgf	2.08893				7	0	0.000305176	146.092	0	CCMSLIB00006679627
3222	spectra_filtered.mgf	*..*		:7163	6265	-1	0	203.15	1	0.972517	0	0	169.014	760600.0	N,N-dimethylarginine [M+H]+	CMMC-REFRAME-POSITIVE-LIBRARY	temp/spectra_filtered.mgf3222	-1	CMMC-REFRAME-POSITIVE-LIBRARY.mgf	1.50222				7	0	0.000305176	203.15	0	CCMSLIB00012254034
4399	spectra_filtered.mgf	*..*		:7163	6265	-1	0	203.15	1	0.972517	0	0	169.014	760600.0	N,N-dimethylarginine [M+H]+	CMMC-REFRAME-POSITIVE-LIBRARY	temp/spectra_filtered.mgf4399	-1	CMMC-REFRAME-POSITIVE-LIBRARY.mgf	1.50222				7	0	0.000305176	203.15	0	CCMSLIB00012254034
4371	spectra_filtered.mgf	*..*		:755	1201	-1	0	731.606	1	0.972179	0	0	33576000.0	2691400.0	Sphingomyelin (d18:1/18:0) CollisionEnergy:102040 M	BERKELEY-LAB	temp/spectra_filtered.mgf4371	-1	BERKELEY-LAB.mgf	0.0834263				7	0	6.10352e-05	731.606	0	CCMSLIB00010103189
1801	spectra_filtered.mgf	*..*		:755	1201	-1	0	731.606	1	0.972179	0	0	33576000.0	2691400.0	Sphingomyelin (d18:1/18:0) CollisionEnergy:102040 M	BERKELEY-LAB	temp/spectra_filtered.mgf1801	-1	BERKELEY-LAB.mgf	0.0834263				7	0	6.10352e-05	731.606	0	CCMSLIB00010103189
2441	spectra_filtered.mgf	*..*		:210	5246	-1	0	360.15	1	0.972102	0	0	7097200.0	1137800.0	Spectral Match to Palatinose from NIST14 M+NH4	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf2441	-1	GNPS-NIST14-MATCHES.mgf	0.508414				13	0	0.000183105	360.15	0	CCMSLIB00003139733
1577	spectra_filtered.mgf	*..*		:2255	326	-1	0	279.231	1	0.971388	0	0	1008200.0	659200.0	Spectral Match to 9(10)-EpOME from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf1577	-1	GNPS-NIST14-MATCHES.mgf	2.95087				12	0	0.000823975	279.232	0	CCMSLIB00003134812
2510	spectra_filtered.mgf	*..*		:1	12148	-1	0	166.054	1	0.970448	0	0	4525040.0	392800.0	L-methionine sulfoxide M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf2510	-1	GNPS-LIBRARY.mgf	5.42154				6	0	0.000900269	166.053	0	CCMSLIB00010013002
4171	spectra_filtered.mgf	*..*		:1354	50594	-1	0	195.065	1	0.970245	0	0	199.0	788000.0	FERULIC ACID M+H	MONA	temp/spectra_filtered.mgf4171	-1	MONA.mgf	1.01691				6	0	0.000198364	195.065	0	CCMSLIB00006679624
2544	spectra_filtered.mgf	*..*		:27	666	-1	0	177.054	1	0.970206	0	0	3556070.0	571700.0	FERULATE M-H2O+H	GNPS-MSMLS	temp/spectra_filtered.mgf2544	-1	GNPS-MSMLS.mgf	3.36108				6	0	0.000595093	177.055	0	CCMSLIB00005464417
