"feature_id_full","feature_id","feature_mz","feature_rt","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_proximal_p_value","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_proximal_p_value_minus_log10","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_proximal_fold_change","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_proximal_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"324_520.24_4.4",324,520.238728332519,4.373966515,0.00215658444255045,2.66623353208529,1.66883720480547,0.73884322655495,"Alkaloids","Small peptides","Dipeptides","2-[[2-[[2-[(2-amino-3-carboxypropanoyl)amino]-3-(1H-indol-3-yl)propanoyl]amino]-3-hydroxypropanoyl]amino]-3-methylpentanoic acid",NA,NA,"CCC(C)C(C(=O)O)NC(=O)C(CO)NC(=O)C(CC1=CNC2=CC=CC=C21)NC(=O)C(CC(=O)O)N",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C24H33N5O8/c1-3-12(2)20(24(36)37)29-23(35)18(11-30)28-22(34)17(27-21(33)15(25)9-19(31)32)8-13-10-26-16-7-5-4-6-14(13)16/h4-7,10,12,15,17-18,20,26,30H,3,8-9,11,25H2,1-2H3,(H,27,33)(H,28,34)(H,29,35)(H,31,32)(H,36,37)","ZJZSCUTVQFNHNB"
"2526_293.21_7.3",2526,293.210697021484,7.273956056,0.00308397867640036,2.5108886334595,1.69134688714368,0.758172579936094,"Fatty acids","Octadecanoids","Other Octadecanoids","9-Oxo-10,12,15-odta",NA,"CC/C=C\C/C=C\C=C\C(=O)CCCCCCCC(=O)O","CCC=CCC=CC=CC(=O)CCCCCCCC(=O)O",NA,NA,NA,NA,"ACHDMUPTZYZIGR","InChI=1S/C18H28O3/c1-2-3-4-5-6-8-11-14-17(19)15-12-9-7-10-13-16-18(20)21/h3-4,6,8,11,14H,2,5,7,9-10,12-13,15-16H2,1H3,(H,20,21)/b4-3-,8-6-,14-11+","ACHDMUPTZYZIGR-CUHSZNQNSA-N","InChI=1S/C18H28O3/c1-2-3-4-5-6-8-11-14-17(19)15-12-9-7-10-13-16-18(20)21/h3-4,6,8,11,14H,2,5,7,9-10,12-13,15-16H2,1H3,(H,20,21)","ACHDMUPTZYZIGR"
"99_315.19_7.3",99,315.193088686119,7.262130296,0.00319243518901888,2.49587791077157,1.65276868764851,0.724884827150715,"Alkaloids","Nicotinic acid alkaloids","Pyridine alkaloids","null",NA,"CC/C=C\C/C=C\C=C\C(=O)CCCCCCCC(=O)O","C1CCN2CCCC(C2C1)CNC(=O)C3=CN4C(=NN=N4)C=C3",NA,NA,NA,NA,"ACHDMUPTZYZIGR","InChI=1S/C18H28O3/c1-2-3-4-5-6-8-11-14-17(19)15-12-9-7-10-13-16-18(20)21/h3-4,6,8,11,14H,2,5,7,9-10,12-13,15-16H2,1H3,(H,20,21)/b4-3-,8-6-,14-11+","ACHDMUPTZYZIGR-CUHSZNQNSA-N","InChI=1S/C16H22N6O/c23-16(13-6-7-15-18-19-20-22(15)11-13)17-10-12-4-3-9-21-8-2-1-5-14(12)21/h6-7,11-12,14H,1-5,8-10H2,(H,17,23)","QOXGZRZVWISVPL"
"1698_515.32_8.5",1698,515.320486318598,8.46862553043478,0.00326880265260028,2.48561129828591,1.64154442444701,0.715053793506476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3846_565.16_2.8",3846,565.15543566293,2.7919226,0.00330274593874226,2.48112483280147,1.77110966904739,0.824653548110245,"Shikimates and Phenylpropanoids","Flavonoids","Flavones","Vicenin 3",NA,NA,"C1C(C(C(C(O1)C2=C3C(=C(C(=C2O)C4C(C(C(C(O4)CO)O)O)O)O)C(=O)C=C(O3)C5=CC=C(C=C5)O)O)O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C26H28O14/c27-6-13-18(32)21(35)23(37)26(40-13)15-19(33)14-10(29)5-12(8-1-3-9(28)4-2-8)39-24(14)16(20(15)34)25-22(36)17(31)11(30)7-38-25/h1-5,11,13,17-18,21-23,25-28,30-37H,6-7H2","MMDUKUSNQNWVET"
"2351_275.2_7.3",2351,275.200321656982,7.260661152,0.00339796389431007,2.4687812401183,1.69460207149819,0.76094653774209,"Fatty acids","Octadecanoids","Other Octadecanoids","9-Oxo-10,12,15-odta",NA,"C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@H]43)[C@@H]1CC[C@@H]2O","CCC=CCC=CC=CC(=O)CCCCCCCC(=O)O",NA,NA,NA,NA,"NPAGDVCDWIYMMC","InChI=1S/C18H26O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h10,13-17,20H,2-9H2,1H3/t13-,14+,15+,16-,17-,18-/m0/s1","NPAGDVCDWIYMMC-IZPLOLCNSA-N","InChI=1S/C18H28O3/c1-2-3-4-5-6-8-11-14-17(19)15-12-9-7-10-13-16-18(20)21/h3-4,6,8,11,14H,2,5,7,9-10,12-13,15-16H2,1H3,(H,20,21)","ACHDMUPTZYZIGR"
"144_293.21_7.6",144,293.210409545898,7.618632496,0.00342225019532501,2.46568824304827,1.59691381497126,0.675286452969081,"Fatty acids","Octadecanoids","Phytoprostanes","trans-EKODE-(E)-Ib",NA,"CC/C=C\C/C=C\C=C\O/C=C/CCCCCCC(=O)O","CCCCCC1C(O1)C=CC(=O)CCCCCCCC(=O)O",NA,NA,NA,NA,"OYKAXBUWOIRLGF","InChI=1S/C18H28O3/c1-2-3-4-5-7-10-13-16-21-17-14-11-8-6-9-12-15-18(19)20/h3-4,7,10,13-14,16-17H,2,5-6,8-9,11-12,15H2,1H3,(H,19,20)/b4-3-,10-7-,16-13+,17-14+","OYKAXBUWOIRLGF-VMBRNALUSA-N","InChI=1S/C18H30O4/c1-2-3-7-11-16-17(22-16)14-13-15(19)10-8-5-4-6-9-12-18(20)21/h13-14,16-17H,2-12H2,1H3,(H,20,21)","RCMABBHQYMBYKV"
"4088_752.52_11",4088,752.524695986793,10.965572047619,0.00346310585363029,2.46053423356029,0.593574246388049,-0.752499596281502,"Fatty acids","Glycerophospholipids","Glycerophosphoethanolamines","Phophatidylethanolamine(22:5n6/15:0)",NA,"CCCCC/C=C\CCC(=O)NCC(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)NC(C)(C)C(=O)NCC(=O)N[C@H](C(=O)N[C@H](CO)CC(C)C)[C@@H](C)CC","CCCCCCCCCCCCCCC(=O)OC(COC(=O)CCC=CCC=CCC=CCC=CCC=CCCCCC)COP(=O)(O)OCCN",NA,NA,NA,NA,"BJULECFFERYMOK","InChI=1S/C38H69N7O8/c1-10-12-13-14-15-16-17-18-30(47)39-21-31(48)40-22-32(49)43-29(20-26(5)6)35(51)45-38(8,9)37(53)41-23-33(50)44-34(27(7)11-2)36(52)42-28(24-46)19-25(3)4/h15-16,25-29,34,46H,10-14,17-24H2,1-9H3,(H,39,47)(H,40,48)(H,41,53)(H,42,52)(H,43,49)(H,44,50)(H,45,51)/b16-15-/t27-,28-,29-,34-/m0/s1","BJULECFFERYMOK-GABKIWGSSA-N","InChI=1S/C42H74NO8P/c1-3-5-7-9-11-13-15-17-18-19-20-21-22-23-25-26-28-30-32-34-41(44)48-38-40(39-50-52(46,47)49-37-36-43)51-42(45)35-33-31-29-27-24-16-14-12-10-8-6-4-2/h11,13,17-18,20-21,23,25,28,30,40H,3-10,12,14-16,19,22,24,26-27,29,31-39,43H2,1-2H3,(H,46,47)","HLAHRUDFCZDVSH"
"383_206.16_2.4",383,206.157351176026,2.36072363809524,0.00402751575562097,2.39496275194764,1.71640685817652,0.779391570727883,"Fatty acids","Fatty acyls","Hydrocarbons",NA,NA,"CN1CCC[C@@H]1C[C@H](O)c1ccccc1",NA,NA,NA,NA,NA,"HSNKJGULIIPHCI","InChI=1S/C13H19NO/c1-14-9-5-8-12(14)10-13(15)11-6-3-2-4-7-11/h2-4,6-7,12-13,15H,5,8-10H2,1H3/t12-,13+/m1/s1","HSNKJGULIIPHCI-OLZOCXBDSA-N",NA,NA
"1575_358.26_6.8",1575,358.258848267712,6.781346928,0.00412631796982151,2.38443730878698,1.60918833600603,0.686333185925275,"Fatty acids","Linear polyketides","Open-chain polyketides","cis-3-hydroxydodec-9-enoylcarnitine",NA,NA,"CCC=CCCCCCC(CC(=O)OC(CC(=O)O)C[N+](C)(C)C)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C19H35NO5/c1-5-6-7-8-9-10-11-12-16(21)13-19(24)25-17(14-18(22)23)15-20(2,3)4/h6-7,16-17,21H,5,8-15H2,1-4H3/p+1","PKPXVGIKUXUYEF"
"1688_147.11_1.4",1688,147.11269569397,1.35297004,0.00448792309168607,2.34795459407421,1.64871341606385,0.7213406473168,NA,NA,NA,NA,"C(CCN)C[C@@H](C(=O)O)N","O=C(O)[C@H]1CCCCN1",NA,"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m0/s1",NA,"KDXKERNSBIXSRK-YFKPBYRVSA-N","KDXKERNSBIXSRK","HXEACLLIILLPRG","InChI=1S/C6H11NO2/c8-6(9)5-3-1-2-4-7-5/h5,7H,1-4H2,(H,8,9)/t5-/m1/s1","HXEACLLIILLPRG-RXMQYKEDSA-N",NA,NA
"1947_513.39_10.3",1947,513.387283935547,10.2512642,0.00481127564508806,2.31773976101233,1.64242769795532,0.715829862421456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"424_333.17_3",424,333.166540848581,3.04495505263158,0.00511510751455944,2.29114523341044,0.627382771084494,-0.672582183831843,"Carbohydrates","Aminosugars and aminoglycosides","Aminosugars","null",NA,NA,"CC1CC(C2(C(O1)OC3C(C(C(C(C3O2)NC)O)NC)O)O)(O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C14H26N2O8/c1-5-4-13(19,20)14(21)12(22-5)23-11-9(18)6(15-2)8(17)7(16-3)10(11)24-14/h5-12,15-21H,4H2,1-3H3","JEBSYFSDBYNEEU"
"4026_337.27_11.6",4026,337.273491599343,11.5981836818182,0.00515376663825159,2.28787525012623,0.60255503307739,-0.730835082055975,"Fatty acids","Glycerolipids","Monoacylglycerols","Emalsy MU",NA,"CCCCCCCCCCCCc1oc(OC)c(CC)c(=O)c1C","CCCCCC=CCC=CCCCCCCCC(=O)OCC(CO)O",NA,NA,NA,NA,"JDVDGNAHTZMMBI","InChI=1S/C21H36O3/c1-5-7-8-9-10-11-12-13-14-15-16-19-17(3)20(22)18(6-2)21(23-4)24-19/h5-16H2,1-4H3","JDVDGNAHTZMMBI-UHFFFAOYSA-N","InChI=1S/C21H38O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(24)25-19-20(23)18-22/h6-7,9-10,20,22-23H,2-5,8,11-19H2,1H3","WECGLUPZRHILCT"
"4076_353.27_6.8",4076,353.268402826218,6.78139810952381,0.00547104282365407,2.26192988584328,1.61287631836271,0.689635811260984,"Fatty acids","Glycerolipids","Monoacylglycerols","1-Monolinolenin",NA,"CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](O)CO","CCC=CCC=CCC=CCCCCCCCC(=O)OCC(CO)O",NA,NA,NA,NA,"GGJRAQULURVTAJ","InChI=1S/C21H36O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(24)25-19-20(23)18-22/h3-4,6-7,9-10,20,22-23H,2,5,8,11-19H2,1H3/b4-3-,7-6-,10-9-/t20-/m1/s1","GGJRAQULURVTAJ-LVTNFWOSSA-N","InChI=1S/C21H36O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(24)25-19-20(23)18-22/h3-4,6-7,9-10,20,22-23H,2,5,8,11-19H2,1H3","GGJRAQULURVTAJ"
"3694_392.27_8.5",3694,392.269795009068,8.54156620952381,0.00630073048659211,2.20060909691069,0.617710159653084,-0.694998035588974,"Terpenoids","Steroids","Pregnane steroids","null",NA,NA,"CC1=CC(C(CC1CC2=NN=C(O2)C3=CC=CC=C3)C(C)C)CN4CCC(CC4)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C25H35N3O2/c1-17(2)23-14-20(15-24-26-27-25(30-24)19-7-5-4-6-8-19)18(3)13-21(23)16-28-11-9-22(29)10-12-28/h4-8,13,17,20-23,29H,9-12,14-16H2,1-3H3","VSLICPOURRGUDU"
"617_277.22_11.8",617,277.215955462694,11.7935447619048,0.00633209258462747,2.1984527437309,1.60814698352749,0.685399273877033,"Fatty acids","Octadecanoids","Other Octadecanoids","ACMC-20lrpq","CCCCCC(=O)/C=C/C=C\CCCCCCCC(=O)O","CCCCCc1ccco1","CCC=CCC=CC=CC(CCCCCCCC(=O)O)O","InChI=1S/C18H30O3/c1-2-3-11-14-17(19)15-12-9-7-5-4-6-8-10-13-16-18(20)21/h7,9,12,15H,2-6,8,10-11,13-14,16H2,1H3,(H,20,21)/b9-7-,15-12+",NA,"JHXAZBBVQSRKJR-BSZOFBHHSA-N","JHXAZBBVQSRKJR","YVBAUDVGOFCUSG","InChI=1S/C9H14O/c1-2-3-4-6-9-7-5-8-10-9/h5,7-8H,2-4,6H2,1H3","YVBAUDVGOFCUSG-UHFFFAOYSA-N","InChI=1S/C18H30O3/c1-2-3-4-5-6-8-11-14-17(19)15-12-9-7-10-13-16-18(20)21/h3-4,6,8,11,14,17,19H,2,5,7,9-10,12-13,15-16H2,1H3,(H,20,21)","RIGGEAZDTKMXSI"
"3400_792.56_11",3400,792.561484201878,11.0234576190476,0.006333597691611,2.19834952635444,0.640891110739126,-0.641848835299627,"Fatty acids","Sphingolipids","Neutral glycosphingolipids","null",NA,NA,"CCCCCCCCCCCCCCCCC(C(=O)NC(COC1C(C(C(C(O1)CO)O)O)O)C(C=CCCC(=O)C(=C)CCCCCCCCC)O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C43H79NO10/c1-4-6-8-10-12-13-14-15-16-17-18-20-22-24-30-37(48)42(52)44-34(32-53-43-41(51)40(50)39(49)38(31-45)54-43)36(47)29-26-25-28-35(46)33(3)27-23-21-19-11-9-7-5-2/h26,29,34,36-41,43,45,47-51H,3-25,27-28,30-32H2,1-2H3,(H,44,52)","MKDAUPXSVHJOBE"
"3145_549.57_11.5",3145,549.572047424316,11.46756905,0.00640513144410747,2.1934719533721,1.66544744568759,0.73590982951983,"Fatty acids","Fatty amides","N-acyl amines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3773_468.31_8.3",3773,468.309183457318,8.29235301764706,0.00653151773429769,2.18498588962207,1.65058612185125,0.722978415340974,"Fatty acids","Glycerophospholipids","Glycerophosphoethanolamines","1-heptadecanoyl-glycero-3-phosphoethanolamine",NA,NA,"CCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)O",NA,NA,NA,NA,"RVNBVQKDPQVSOY","nan","nan","InChI=1S/C22H46NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-22(25)28-19-21(24)20-30-31(26,27)29-18-17-23/h21,24H,2-20,23H2,1H3,(H,26,27)","RVNBVQKDPQVSOY"
"4254_348.07_0.7",4254,348.070468556973,0.657755157727273,0.00705447065870562,2.15153556853302,0.620172185322583,-0.689259272253549,NA,NA,NA,NA,NA,"Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O",NA,NA,NA,NA,NA,"UDMBCSSLTHHNCD","InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1","UDMBCSSLTHHNCD-KQYNXXCUSA-N",NA,NA
"2182_204.12_3.8",2182,204.121649170514,3.763837372,0.00736716960337686,2.13269933191479,1.66169386586155,0.732654618639982,"Alkaloids","Lysine alkaloids","Piperidine alkaloids","null",NA,"CC(C)=CCNc1nc[nH]c2ncnc1-2","C1CCN(C1)CCN2C=NC(=N2)N",NA,NA,NA,NA,"HYVABZIGRDEKCD","InChI=1S/C10H13N5/c1-7(2)3-4-11-9-8-10(13-5-12-8)15-6-14-9/h3,5-6H,4H2,1-2H3,(H2,11,12,13,14,15)","HYVABZIGRDEKCD-UHFFFAOYSA-N","InChI=1S/C8H15N5/c9-8-10-7-13(11-8)6-5-12-3-1-2-4-12/h7H,1-6H2,(H2,9,11)","OUCGEROWMMUVQD"
"307_308.09_0.8",307,308.091023763021,0.815051482380952,0.00750031328258848,2.12492059606724,0.604072487154021,-0.727206415232861,"Amino acids and Peptides","Small peptides","Tripeptides","Glutinal","N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O","N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O","C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N","\"\"InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)/t5-,6-/m0/s1\"\"",NA,"RWSXRVCMGQZWBV-WDSKDSINSA-N","RWSXRVCMGQZWBV","RWSXRVCMGQZWBV","InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)/t5-,6-/m0/s1","RWSXRVCMGQZWBV-WDSKDSINSA-N","InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)","RWSXRVCMGQZWBV"
